year,Rima
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,5
1930,5
1931,5
1932,0
1933,5
1934,5
1935,7
1936,6
1937,6
1938,6
1939,6
1940,5
1941,6
1942,0
1943,11
1944,6
1945,11
1946,10
1947,6
1948,10
1949,0
1950,0
1951,7
1952,9
1953,10
1954,13
1955,9
1956,6
1957,0
1958,11
1959,21
1960,20
1961,13
1962,12
1963,12
1964,14
1965,23
1966,24
1967,17
1968,16
1969,25
1970,22
1971,21
1972,14
1973,17
1974,16
1975,13
1976,19
1977,18
1978,22
1979,23
1980,22
1981,21
1982,32
1983,20
1984,24
1985,28
1986,19
1987,28
1988,27
1989,28
1990,37
1991,18
1992,27
1993,21
1994,27
1995,32
1996,20
1997,15
1998,23
1999,23
2000,16
2001,21
2002,19
2003,20
2004,14
2005,13
2006,15
2007,14
2008,12
2009,9
2010,15
2011,23
2012,29
