year,Roxie (F),Roxie (M)
1880,0.000308,0.000000
1881,0.000374,0.000000
1882,0.000325,0.000000
1883,0.000346,0.000000
1884,0.000411,0.000000
1885,0.000365,0.000000
1886,0.000360,0.000000
1887,0.000449,0.000000
1888,0.000454,0.000000
1889,0.000433,0.000000
1890,0.000448,0.000000
1891,0.000419,0.000000
1892,0.000443,0.000000
1893,0.000391,0.000000
1894,0.000375,0.000000
1895,0.000402,0.000000
1896,0.000369,0.000000
1897,0.000415,0.000000
1898,0.000448,0.000000
1899,0.000445,0.000000
1900,0.000462,0.000000
1901,0.000518,0.000000
1902,0.000440,0.000000
1903,0.000428,0.000000
1904,0.000379,0.000000
1905,0.000410,0.000000
1906,0.000385,0.000000
1907,0.000382,0.000000
1908,0.000332,0.000000
1909,0.000311,0.000000
1910,0.000286,0.000000
1911,0.000261,0.000008
1912,0.000206,0.000000
1913,0.000186,0.000000
1914,0.000167,0.000006
1915,0.000164,0.000000
1916,0.000143,0.000003
1917,0.000132,0.000002
1918,0.000142,0.000005
1919,0.000145,0.000004
1920,0.000125,0.000003
1921,0.000110,0.000003
1922,0.000121,0.000005
1923,0.000092,0.000002
1924,0.000117,0.000004
1925,0.000111,0.000003
1926,0.000095,0.000000
1927,0.000077,0.000003
1928,0.000087,0.000003
1929,0.000073,0.000003
1930,0.000082,0.000000
1931,0.000085,0.000000
1932,0.000090,0.000000
1933,0.000083,0.000003
1934,0.000094,0.000000
1935,0.000078,0.000000
1936,0.000077,0.000003
1937,0.000079,0.000000
1938,0.000074,0.000000
1939,0.000083,0.000003
1940,0.000080,0.000005
1941,0.000066,0.000005
1942,0.000075,0.000002
1943,0.000076,0.000000
1944,0.000076,0.000000
1945,0.000070,0.000002
1946,0.000062,0.000002
1947,0.000059,0.000000
1948,0.000060,0.000000
1949,0.000061,0.000000
1950,0.000060,0.000000
1951,0.000064,0.000002
1952,0.000062,0.000000
1953,0.000063,0.000000
1954,0.000068,0.000002
1955,0.000062,0.000002
1956,0.000063,0.000001
1957,0.000046,0.000000
1958,0.000036,0.000000
1959,0.000045,0.000000
1960,0.000035,0.000001
1961,0.000041,0.000000
1962,0.000035,0.000000
1963,0.000033,0.000000
1964,0.000033,0.000000
1965,0.000032,0.000000
1966,0.000022,0.000000
1967,0.000022,0.000000
1968,0.000026,0.000000
1969,0.000024,0.000000
1970,0.000021,0.000000
1971,0.000020,0.000000
1972,0.000016,0.000000
1973,0.000015,0.000000
1974,0.000019,0.000000
1975,0.000017,0.000000
1976,0.000014,0.000000
1977,0.000015,0.000000
1978,0.000015,0.000000
1979,0.000017,0.000000
1980,0.000015,0.000000
1981,0.000014,0.000000
1982,0.000010,0.000000
1983,0.000010,0.000000
1984,0.000013,0.000000
1985,0.000014,0.000000
1986,0.000015,0.000000
1987,0.000014,0.000000
1988,0.000019,0.000000
1989,0.000011,0.000000
1990,0.000012,0.000000
1991,0.000010,0.000000
1992,0.000006,0.000000
1993,0.000009,0.000000
1994,0.000005,0.000000
1995,0.000004,0.000000
1996,0.000007,0.000000
1997,0.000007,0.000000
1998,0.000004,0.000000
1999,0.000004,0.000000
2000,0.000004,0.000000
2001,0.000006,0.000000
2002,0.000007,0.000000
2003,0.000007,0.000000
2004,0.000007,0.000000
2005,0.000010,0.000000
2006,0.000009,0.000000
2007,0.000016,0.000000
2008,0.000016,0.000000
2009,0.000013,0.000000
2010,0.000016,0.000000
2011,0.000025,0.000000
2012,0.000019,0.000000
2013,0.000019,0.000000
2014,0.000015,0.000000
2015,0.000015,0.000000
2016,0.000014,0.000000
2017,0.000013,0.000000
2018,0.000015,0.000000
2019,0.000013,0.000000
2020,0.000013,0.000000
