year,Rudy (F),Rudy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000027
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000024
1893,0.000000,0.000028
1894,0.000000,0.000018
1895,0.000000,0.000014
1896,0.000000,0.000020
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000029
1901,0.000000,0.000020
1902,0.000000,0.000026
1903,0.000000,0.000029
1904,0.000000,0.000025
1905,0.000000,0.000014
1906,0.000000,0.000044
1907,0.000000,0.000019
1908,0.000000,0.000029
1909,0.000000,0.000043
1910,0.000000,0.000044
1911,0.000000,0.000056
1912,0.000008,0.000039
1913,0.000005,0.000058
1914,0.000006,0.000042
1915,0.000004,0.000057
1916,0.000004,0.000053
1917,0.000002,0.000054
1918,0.000005,0.000045
1919,0.000004,0.000042
1920,0.000003,0.000049
1921,0.000000,0.000047
1922,0.000002,0.000062
1923,0.000003,0.000072
1924,0.000005,0.000087
1925,0.000003,0.000089
1926,0.000004,0.000160
1927,0.000005,0.000153
1928,0.000004,0.000143
1929,0.000005,0.000176
1930,0.000003,0.000197
1931,0.000004,0.000201
1932,0.000005,0.000198
1933,0.000003,0.000198
1934,0.000004,0.000226
1935,0.000004,0.000206
1936,0.000004,0.000187
1937,0.000003,0.000161
1938,0.000005,0.000217
1939,0.000004,0.000193
1940,0.000003,0.000185
1941,0.000003,0.000188
1942,0.000000,0.000175
1943,0.000004,0.000196
1944,0.000004,0.000205
1945,0.000000,0.000193
1946,0.000003,0.000196
1947,0.000004,0.000209
1948,0.000002,0.000204
1949,0.000002,0.000206
1950,0.000002,0.000175
1951,0.000003,0.000177
1952,0.000002,0.000170
1953,0.000002,0.000164
1954,0.000003,0.000169
1955,0.000002,0.000167
1956,0.000002,0.000176
1957,0.000003,0.000182
1958,0.000002,0.000178
1959,0.000003,0.000189
1960,0.000001,0.000200
1961,0.000001,0.000189
1962,0.000003,0.000168
1963,0.000002,0.000179
1964,0.000001,0.000155
1965,0.000002,0.000163
1966,0.000003,0.000156
1967,0.000002,0.000168
1968,0.000002,0.000153
1969,0.000003,0.000152
1970,0.000002,0.000133
1971,0.000003,0.000133
1972,0.000003,0.000151
1973,0.000004,0.000151
1974,0.000000,0.000149
1975,0.000002,0.000156
1976,0.000003,0.000165
1977,0.000004,0.000171
1978,0.000003,0.000174
1979,0.000003,0.000163
1980,0.000003,0.000144
1981,0.000000,0.000150
1982,0.000003,0.000152
1983,0.000002,0.000145
1984,0.000002,0.000142
1985,0.000005,0.000144
1986,0.000008,0.000157
1987,0.000005,0.000155
1988,0.000007,0.000157
1989,0.000006,0.000155
1990,0.000005,0.000152
1991,0.000005,0.000144
1992,0.000005,0.000156
1993,0.000006,0.000137
1994,0.000005,0.000140
1995,0.000005,0.000134
1996,0.000005,0.000127
1997,0.000002,0.000134
1998,0.000004,0.000109
1999,0.000002,0.000112
2000,0.000002,0.000101
2001,0.000002,0.000110
2002,0.000004,0.000106
2003,0.000003,0.000102
2004,0.000003,0.000108
2005,0.000000,0.000100
2006,0.000004,0.000095
2007,0.000000,0.000083
2008,0.000003,0.000099
2009,0.000001,0.000085
2010,0.000003,0.000084
2011,0.000001,0.000085
2012,0.000003,0.000078
2013,0.000002,0.000074
2014,0.000001,0.000069
2015,0.000002,0.000072
2016,0.000004,0.000072
2017,0.000005,0.000069
2018,0.000005,0.000077
2019,0.000007,0.000073
2020,0.000005,0.000079
