year,Rommel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,8
1953,7
1954,5
1955,9
1956,5
1957,0
1958,9
1959,12
1960,10
1961,5
1962,13
1963,18
1964,11
1965,11
1966,5
1967,11
1968,9
1969,14
1970,23
1971,22
1972,26
1973,31
1974,27
1975,23
1976,34
1977,23
1978,25
1979,30
1980,26
1981,23
1982,34
1983,24
1984,25
1985,19
1986,27
1987,24
1988,18
1989,23
1990,26
1991,35
1992,28
1993,22
1994,26
1995,15
1996,15
1997,31
1998,17
1999,13
2000,21
2001,32
2002,20
2003,22
2004,27
2005,34
2006,26
2007,30
2008,36
2009,23
2010,20
2011,15
2012,29
