year,Ricarda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,0
1913,7
1914,0
1915,5
1916,5
1917,8
1918,7
1919,15
1920,8
1921,8
1922,15
1923,13
1924,16
1925,6
1926,10
1927,18
1928,12
1929,12
1930,8
1931,11
1932,6
1933,9
1934,9
1935,11
1936,6
1937,0
1938,7
1939,7
1940,6
1941,9
1942,6
1943,6
1944,8
1945,12
1946,13
1947,7
1948,18
1949,16
1950,13
1951,15
1952,21
1953,17
1954,24
1955,8
1956,14
1957,10
1958,11
1959,12
1960,10
1961,7
1962,15
1963,7
1964,8
1965,0
1966,12
1967,12
1968,6
1969,7
1970,7
1971,0
1972,7
1973,11
1974,8
1975,6
1976,11
1977,10
1978,5
1979,5
1980,8
1981,9
1982,5
1983,7
1984,7
1985,0
1986,7
1987,5
1988,5
1989,6
1990,6
1991,7
1992,7
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
