year,Ruperto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,5
1915,8
1916,5
1917,0
1918,5
1919,8
1920,8
1921,6
1922,5
1923,7
1924,10
1925,9
1926,10
1927,17
1928,22
1929,10
1930,10
1931,8
1932,0
1933,16
1934,7
1935,15
1936,11
1937,8
1938,9
1939,10
1940,11
1941,8
1942,8
1943,0
1944,16
1945,7
1946,11
1947,10
1948,7
1949,8
1950,5
1951,11
1952,5
1953,13
1954,8
1955,7
1956,9
1957,6
1958,6
1959,10
1960,7
1961,11
1962,11
1963,9
1964,12
1965,12
1966,9
1967,8
1968,20
1969,12
1970,10
1971,13
1972,13
1973,12
1974,9
1975,14
1976,9
1977,18
1978,18
1979,14
1980,18
1981,16
1982,11
1983,20
1984,13
1985,11
1986,8
1987,7
1988,13
1989,10
1990,8
1991,16
1992,13
1993,14
1994,9
1995,17
1996,14
1997,7
1998,6
1999,13
2000,13
2001,10
2002,10
2003,8
2004,14
2005,0
2006,10
2007,8
2008,5
2009,9
2010,7
2011,8
2012,5
