year,Rubin (F),Rubin (M)
1880,0.000000,0.000069
1881,0.000000,0.000000
1882,0.000000,0.000054
1883,0.000000,0.000000
1884,0.000000,0.000037
1885,0.000000,0.000037
1886,0.000000,0.000031
1887,0.000000,0.000032
1888,0.000000,0.000033
1889,0.000000,0.000028
1890,0.000000,0.000043
1891,0.000000,0.000045
1892,0.000000,0.000033
1893,0.000000,0.000025
1894,0.000000,0.000030
1895,0.000000,0.000020
1896,0.000000,0.000036
1897,0.000000,0.000040
1898,0.000000,0.000045
1899,0.000000,0.000027
1900,0.000000,0.000051
1901,0.000000,0.000040
1902,0.000000,0.000057
1903,0.000000,0.000042
1904,0.000000,0.000037
1905,0.000000,0.000061
1906,0.000000,0.000070
1907,0.000000,0.000075
1908,0.000000,0.000047
1909,0.000000,0.000059
1910,0.000000,0.000068
1911,0.000000,0.000076
1912,0.000000,0.000074
1913,0.000000,0.000082
1914,0.000000,0.000078
1915,0.000000,0.000077
1916,0.000000,0.000069
1917,0.000000,0.000059
1918,0.000000,0.000060
1919,0.000000,0.000058
1920,0.000000,0.000051
1921,0.000000,0.000045
1922,0.000000,0.000055
1923,0.000000,0.000063
1924,0.000000,0.000054
1925,0.000000,0.000046
1926,0.000000,0.000049
1927,0.000000,0.000043
1928,0.000000,0.000044
1929,0.000000,0.000036
1930,0.000000,0.000041
1931,0.000000,0.000033
1932,0.000000,0.000039
1933,0.000000,0.000035
1934,0.000000,0.000027
1935,0.000000,0.000030
1936,0.000000,0.000027
1937,0.000000,0.000024
1938,0.000000,0.000027
1939,0.000000,0.000025
1940,0.000000,0.000022
1941,0.000000,0.000023
1942,0.000000,0.000018
1943,0.000000,0.000021
1944,0.000000,0.000022
1945,0.000000,0.000019
1946,0.000000,0.000018
1947,0.000000,0.000020
1948,0.000000,0.000025
1949,0.000000,0.000022
1950,0.000000,0.000021
1951,0.000000,0.000023
1952,0.000000,0.000018
1953,0.000000,0.000017
1954,0.000000,0.000019
1955,0.000000,0.000021
1956,0.000000,0.000020
1957,0.000000,0.000015
1958,0.000000,0.000016
1959,0.000001,0.000013
1960,0.000000,0.000014
1961,0.000000,0.000018
1962,0.000000,0.000019
1963,0.000000,0.000018
1964,0.000001,0.000015
1965,0.000000,0.000012
1966,0.000000,0.000015
1967,0.000000,0.000016
1968,0.000001,0.000014
1969,0.000000,0.000015
1970,0.000000,0.000017
1971,0.000000,0.000017
1972,0.000000,0.000018
1973,0.000000,0.000021
1974,0.000000,0.000018
1975,0.000000,0.000014
1976,0.000000,0.000020
1977,0.000000,0.000017
1978,0.000000,0.000016
1979,0.000000,0.000017
1980,0.000000,0.000008
1981,0.000000,0.000013
1982,0.000000,0.000011
1983,0.000000,0.000012
1984,0.000000,0.000012
1985,0.000000,0.000010
1986,0.000000,0.000013
1987,0.000000,0.000012
1988,0.000000,0.000014
1989,0.000000,0.000012
1990,0.000000,0.000010
1991,0.000000,0.000012
1992,0.000000,0.000011
1993,0.000000,0.000008
1994,0.000000,0.000009
1995,0.000000,0.000008
1996,0.000000,0.000009
1997,0.000000,0.000010
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000009
2001,0.000000,0.000007
2002,0.000000,0.000009
2003,0.000000,0.000008
2004,0.000000,0.000009
2005,0.000000,0.000007
2006,0.000000,0.000009
2007,0.000000,0.000005
2008,0.000000,0.000008
2009,0.000000,0.000003
2010,0.000000,0.000007
2011,0.000000,0.000006
2012,0.000000,0.000005
2013,0.000000,0.000006
