year,Roberto (F),Roberto (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000021
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000016
1907,0.000000,0.000024
1908,0.000000,0.000033
1909,0.000000,0.000022
1910,0.000000,0.000032
1911,0.000000,0.000023
1912,0.000000,0.000041
1913,0.000000,0.000027
1914,0.000000,0.000030
1915,0.000000,0.000032
1916,0.000000,0.000033
1917,0.000003,0.000039
1918,0.000000,0.000044
1919,0.000000,0.000042
1920,0.000000,0.000065
1921,0.000003,0.000067
1922,0.000003,0.000076
1923,0.000002,0.000101
1924,0.000000,0.000101
1925,0.000000,0.000107
1926,0.000003,0.000108
1927,0.000003,0.000132
1928,0.000003,0.000138
1929,0.000005,0.000162
1930,0.000003,0.000179
1931,0.000000,0.000148
1932,0.000002,0.000127
1933,0.000006,0.000122
1934,0.000000,0.000135
1935,0.000003,0.000127
1936,0.000005,0.000127
1937,0.000005,0.000138
1938,0.000004,0.000131
1939,0.000002,0.000129
1940,0.000004,0.000133
1941,0.000004,0.000141
1942,0.000002,0.000129
1943,0.000002,0.000138
1944,0.000002,0.000154
1945,0.000003,0.000165
1946,0.000002,0.000156
1947,0.000002,0.000145
1948,0.000002,0.000174
1949,0.000000,0.000167
1950,0.000003,0.000170
1951,0.000002,0.000178
1952,0.000000,0.000182
1953,0.000002,0.000184
1954,0.000002,0.000191
1955,0.000002,0.000185
1956,0.000003,0.000181
1957,0.000002,0.000194
1958,0.000003,0.000224
1959,0.000003,0.000214
1960,0.000003,0.000230
1961,0.000002,0.000228
1962,0.000004,0.000253
1963,0.000002,0.000264
1964,0.000004,0.000272
1965,0.000005,0.000293
1966,0.000003,0.000316
1967,0.000003,0.000337
1968,0.000005,0.000359
1969,0.000003,0.000380
1970,0.000004,0.000378
1971,0.000002,0.000405
1972,0.000004,0.000445
1973,0.000004,0.000476
1974,0.000005,0.000497
1975,0.000005,0.000516
1976,0.000004,0.000523
1977,0.000007,0.000512
1978,0.000006,0.000506
1979,0.000005,0.000498
1980,0.000006,0.000546
1981,0.000004,0.000558
1982,0.000002,0.000525
1983,0.000003,0.000512
1984,0.000003,0.000479
1985,0.000003,0.000479
1986,0.000005,0.000481
1987,0.000005,0.000451
1988,0.000007,0.000450
1989,0.000004,0.000524
1990,0.000005,0.000530
1991,0.000004,0.000543
1992,0.000003,0.000523
1993,0.000005,0.000551
1994,0.000003,0.000530
1995,0.000003,0.000547
1996,0.000002,0.000526
1997,0.000002,0.000536
1998,0.000002,0.000533
1999,0.000002,0.000530
2000,0.000002,0.000518
2001,0.000002,0.000523
2002,0.000000,0.000534
2003,0.000002,0.000493
2004,0.000000,0.000491
2005,0.000000,0.000489
2006,0.000001,0.000437
2007,0.000002,0.000438
2008,0.000000,0.000403
2009,0.000000,0.000371
2010,0.000000,0.000345
2011,0.000000,0.000310
2012,0.000000,0.000295
2013,0.000000,0.000262
