year,Roselynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,5
1939,0
1940,5
1941,6
1942,13
1943,7
1944,13
1945,7
1946,7
1947,11
1948,10
1949,8
1950,10
1951,7
1952,5
1953,12
1954,0
1955,0
1956,7
1957,5
1958,6
1959,9
1960,8
1961,11
1962,8
1963,6
1964,8
1965,0
1966,7
1967,0
1968,5
1969,5
1970,0
1971,0
1972,0
1973,6
1974,6
1975,9
1976,12
1977,11
1978,14
1979,16
1980,15
1981,9
1982,15
1983,7
1984,21
1985,10
1986,11
1987,11
1988,11
1989,7
1990,9
1991,12
1992,12
1993,16
1994,10
1995,14
1996,18
1997,15
1998,22
1999,17
2000,16
2001,20
2002,26
2003,36
2004,39
2005,34
2006,35
2007,51
2008,51
2009,50
2010,71
2011,65
2012,90
