year,Roxanne (F),Roxanne (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000014,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000004,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000003,0.000000
1919,0.000003,0.000000
1920,0.000003,0.000000
1921,0.000000,0.000000
1922,0.000003,0.000000
1923,0.000004,0.000000
1924,0.000000,0.000000
1925,0.000004,0.000000
1926,0.000005,0.000000
1927,0.000004,0.000000
1928,0.000004,0.000000
1929,0.000004,0.000000
1930,0.000004,0.000000
1931,0.000007,0.000000
1932,0.000011,0.000000
1933,0.000012,0.000000
1934,0.000013,0.000000
1935,0.000014,0.000000
1936,0.000026,0.000000
1937,0.000025,0.000000
1938,0.000028,0.000000
1939,0.000030,0.000000
1940,0.000039,0.000000
1941,0.000047,0.000000
1942,0.000039,0.000000
1943,0.000063,0.000000
1944,0.000065,0.000000
1945,0.000075,0.000000
1946,0.000073,0.000000
1947,0.000075,0.000000
1948,0.000084,0.000000
1949,0.000095,0.000000
1950,0.000194,0.000000
1951,0.000294,0.000000
1952,0.000415,0.000000
1953,0.000458,0.000000
1954,0.000560,0.000000
1955,0.000522,0.000000
1956,0.000513,0.000001
1957,0.000422,0.000000
1958,0.000383,0.000000
1959,0.000411,0.000001
1960,0.000462,0.000000
1961,0.000416,0.000001
1962,0.000376,0.000000
1963,0.000386,0.000000
1964,0.000340,0.000000
1965,0.000351,0.000000
1966,0.000341,0.000000
1967,0.000295,0.000000
1968,0.000301,0.000000
1969,0.000314,0.000000
1970,0.000280,0.000001
1971,0.000302,0.000000
1972,0.000281,0.000000
1973,0.000233,0.000000
1974,0.000237,0.000000
1975,0.000247,0.000000
1976,0.000224,0.000000
1977,0.000236,0.000000
1978,0.000239,0.000000
1979,0.000264,0.000000
1980,0.000253,0.000000
1981,0.000246,0.000001
1982,0.000251,0.000000
1983,0.000236,0.000001
1984,0.000215,0.000000
1985,0.000246,0.000001
1986,0.000228,0.000000
1987,0.000283,0.000003
1988,0.000322,0.000002
1989,0.000254,0.000000
1990,0.000203,0.000000
1991,0.000163,0.000000
1992,0.000152,0.000000
1993,0.000122,0.000000
1994,0.000101,0.000000
1995,0.000093,0.000000
1996,0.000091,0.000000
1997,0.000073,0.000000
1998,0.000069,0.000000
1999,0.000064,0.000000
2000,0.000060,0.000000
2001,0.000050,0.000000
2002,0.000053,0.000000
2003,0.000050,0.000000
2004,0.000058,0.000000
2005,0.000059,0.000000
2006,0.000052,0.000000
2007,0.000052,0.000000
2008,0.000060,0.000000
2009,0.000068,0.000000
2010,0.000064,0.000000
2011,0.000067,0.000000
2012,0.000067,0.000000
