year,Rosena
1880,0
1881,5
1882,7
1883,0
1884,7
1885,7
1886,10
1887,0
1888,5
1889,0
1890,6
1891,5
1892,0
1893,5
1894,10
1895,7
1896,9
1897,13
1898,12
1899,7
1900,7
1901,10
1902,10
1903,10
1904,8
1905,10
1906,11
1907,16
1908,11
1909,5
1910,11
1911,19
1912,23
1913,21
1914,17
1915,24
1916,33
1917,23
1918,28
1919,29
1920,25
1921,23
1922,29
1923,43
1924,38
1925,24
1926,23
1927,23
1928,17
1929,18
1930,19
1931,19
1932,30
1933,15
1934,17
1935,16
1936,14
1937,10
1938,14
1939,17
1940,13
1941,18
1942,20
1943,15
1944,13
1945,7
1946,9
1947,12
1948,18
1949,15
1950,14
1951,17
1952,19
1953,20
1954,19
1955,13
1956,14
1957,17
1958,12
1959,14
1960,10
1961,18
1962,15
1963,8
1964,15
1965,6
1966,10
1967,7
1968,8
1969,7
1970,0
1971,8
1972,9
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,7
1981,10
1982,7
1983,5
1984,0
1985,5
1986,8
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
