year,Rodric
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,6
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,0
1946,5
1947,7
1948,0
1949,8
1950,0
1951,7
1952,7
1953,0
1954,7
1955,6
1956,0
1957,11
1958,6
1959,0
1960,7
1961,5
1962,11
1963,6
1964,6
1965,9
1966,8
1967,9
1968,12
1969,10
1970,11
1971,11
1972,12
1973,12
1974,13
1975,11
1976,16
1977,7
1978,12
1979,10
1980,11
1981,9
1982,11
1983,10
1984,0
1985,9
1986,6
1987,11
1988,8
1989,11
1990,8
1991,6
1992,6
1993,12
1994,6
1995,7
1996,6
1997,0
1998,6
1999,6
2000,6
2001,6
2002,0
2003,8
2004,0
2005,5
2006,0
2007,6
2008,5
2009,0
2010,9
2011,0
2012,7
