year,Rance
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,8
1910,0
1911,0
1912,11
1913,8
1914,5
1915,11
1916,9
1917,10
1918,13
1919,11
1920,13
1921,14
1922,11
1923,0
1924,9
1925,21
1926,6
1927,12
1928,13
1929,10
1930,11
1931,14
1932,10
1933,11
1934,16
1935,13
1936,16
1937,14
1938,24
1939,15
1940,28
1941,18
1942,19
1943,17
1944,20
1945,22
1946,18
1947,34
1948,22
1949,31
1950,37
1951,29
1952,30
1953,25
1954,37
1955,31
1956,53
1957,35
1958,45
1959,35
1960,48
1961,56
1962,57
1963,53
1964,48
1965,49
1966,34
1967,36
1968,33
1969,48
1970,53
1971,55
1972,25
1973,35
1974,36
1975,45
1976,24
1977,32
1978,47
1979,34
1980,26
1981,31
1982,42
1983,39
1984,31
1985,32
1986,43
1987,40
1988,42
1989,39
1990,52
1991,38
1992,35
1993,27
1994,31
1995,25
1996,25
1997,29
1998,31
1999,24
2000,25
2001,24
2002,30
2003,27
2004,33
2005,33
2006,31
2007,35
2008,25
2009,20
2010,26
2011,28
2012,14
