year,Rubbie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,7
1911,0
1912,5
1913,8
1914,9
1915,14
1916,13
1917,13
1918,15
1919,8
1920,22
1921,20
1922,23
1923,31
1924,21
1925,19
1926,18
1927,23
1928,21
1929,21
1930,17
1931,13
1932,23
1933,13
1934,13
1935,14
1936,15
1937,11
1938,6
1939,9
1940,15
1941,13
1942,15
1943,9
1944,18
1945,10
1946,19
1947,8
1948,19
1949,7
1950,15
1951,9
1952,10
1953,7
1954,12
1955,8
1956,6
1957,10
1958,7
1959,0
1960,9
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
