year,Raelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,6
1931,0
1932,10
1933,0
1934,5
1935,8
1936,17
1937,12
1938,10
1939,16
1940,9
1941,13
1942,20
1943,17
1944,13
1945,18
1946,22
1947,26
1948,23
1949,19
1950,33
1951,39
1952,39
1953,39
1954,31
1955,49
1956,34
1957,36
1958,45
1959,55
1960,51
1961,43
1962,40
1963,51
1964,47
1965,42
1966,39
1967,41
1968,42
1969,34
1970,39
1971,34
1972,27
1973,25
1974,29
1975,30
1976,23
1977,18
1978,34
1979,24
1980,26
1981,39
1982,22
1983,21
1984,32
1985,32
1986,27
1987,29
1988,28
1989,43
1990,39
1991,27
1992,33
1993,34
1994,30
1995,28
1996,36
1997,30
1998,32
1999,25
2000,29
2001,29
2002,28
2003,29
2004,19
2005,26
2006,16
2007,16
2008,24
2009,15
2010,22
2011,22
2012,17
