year,Rodger (F),Rodger (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000018
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000017
1906,0.000000,0.000014
1907,0.000000,0.000026
1908,0.000000,0.000016
1909,0.000000,0.000018
1910,0.000000,0.000008
1911,0.000000,0.000031
1912,0.000000,0.000022
1913,0.000000,0.000026
1914,0.000000,0.000024
1915,0.000000,0.000026
1916,0.000000,0.000022
1917,0.000000,0.000023
1918,0.000000,0.000032
1919,0.000000,0.000030
1920,0.000000,0.000036
1921,0.000000,0.000027
1922,0.000000,0.000030
1923,0.000000,0.000030
1924,0.000000,0.000031
1925,0.000000,0.000044
1926,0.000000,0.000039
1927,0.000000,0.000047
1928,0.000000,0.000049
1929,0.000000,0.000052
1930,0.000000,0.000058
1931,0.000000,0.000068
1932,0.000000,0.000073
1933,0.000000,0.000083
1934,0.000000,0.000075
1935,0.000000,0.000080
1936,0.000000,0.000111
1937,0.000000,0.000104
1938,0.000000,0.000133
1939,0.000000,0.000133
1940,0.000000,0.000137
1941,0.000000,0.000139
1942,0.000000,0.000150
1943,0.000000,0.000189
1944,0.000000,0.000189
1945,0.000000,0.000208
1946,0.000000,0.000202
1947,0.000000,0.000179
1948,0.000000,0.000192
1949,0.000000,0.000195
1950,0.000000,0.000174
1951,0.000000,0.000156
1952,0.000000,0.000148
1953,0.000000,0.000171
1954,0.000000,0.000157
1955,0.000000,0.000141
1956,0.000000,0.000121
1957,0.000000,0.000113
1958,0.000000,0.000109
1959,0.000000,0.000116
1960,0.000000,0.000109
1961,0.000000,0.000115
1962,0.000000,0.000102
1963,0.000000,0.000104
1964,0.000000,0.000097
1965,0.000000,0.000095
1966,0.000000,0.000094
1967,0.000000,0.000090
1968,0.000000,0.000088
1969,0.000000,0.000076
1970,0.000000,0.000071
1971,0.000000,0.000071
1972,0.000000,0.000061
1973,0.000000,0.000058
1974,0.000000,0.000057
1975,0.000000,0.000043
1976,0.000000,0.000046
1977,0.000000,0.000042
1978,0.000000,0.000037
1979,0.000000,0.000042
1980,0.000000,0.000038
1981,0.000000,0.000035
1982,0.000000,0.000029
1983,0.000000,0.000031
1984,0.000000,0.000026
1985,0.000000,0.000027
1986,0.000000,0.000022
1987,0.000000,0.000025
1988,0.000000,0.000024
1989,0.000000,0.000018
1990,0.000000,0.000019
1991,0.000000,0.000020
1992,0.000000,0.000016
1993,0.000000,0.000015
1994,0.000000,0.000013
1995,0.000000,0.000011
1996,0.000000,0.000013
1997,0.000000,0.000010
1998,0.000000,0.000010
1999,0.000000,0.000009
2000,0.000000,0.000009
2001,0.000000,0.000011
2002,0.000000,0.000010
2003,0.000000,0.000005
2004,0.000000,0.000007
2005,0.000000,0.000008
2006,0.000000,0.000009
2007,0.000000,0.000006
2008,0.000000,0.000008
2009,0.000000,0.000005
2010,0.000000,0.000003
2011,0.000000,0.000005
2012,0.000000,0.000005
2013,0.000000,0.000007
