year,Robyn (F),Robyn (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000003,0.000000
1922,0.000000,0.000000
1923,0.000003,0.000000
1924,0.000002,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000003,0.000000
1928,0.000000,0.000000
1929,0.000003,0.000000
1930,0.000004,0.000000
1931,0.000000,0.000000
1932,0.000004,0.000000
1933,0.000004,0.000000
1934,0.000005,0.000000
1935,0.000007,0.000000
1936,0.000007,0.000000
1937,0.000006,0.000000
1938,0.000006,0.000000
1939,0.000014,0.000000
1940,0.000012,0.000002
1941,0.000010,0.000000
1942,0.000014,0.000000
1943,0.000017,0.000000
1944,0.000014,0.000003
1945,0.000025,0.000002
1946,0.000042,0.000002
1947,0.000091,0.000005
1948,0.000088,0.000003
1949,0.000093,0.000004
1950,0.000095,0.000005
1951,0.000111,0.000007
1952,0.000136,0.000005
1953,0.000172,0.000007
1954,0.000238,0.000007
1955,0.000251,0.000004
1956,0.000298,0.000008
1957,0.000282,0.000005
1958,0.000287,0.000004
1959,0.000272,0.000008
1960,0.000295,0.000006
1961,0.000371,0.000010
1962,0.000411,0.000010
1963,0.000428,0.000007
1964,0.000484,0.000006
1965,0.000384,0.000008
1966,0.000408,0.000006
1967,0.000350,0.000005
1968,0.000419,0.000004
1969,0.000485,0.000003
1970,0.000415,0.000005
1971,0.000413,0.000008
1972,0.000468,0.000006
1973,0.000489,0.000006
1974,0.000526,0.000007
1975,0.000500,0.000007
1976,0.000471,0.000010
1977,0.000476,0.000007
1978,0.000434,0.000007
1979,0.000420,0.000009
1980,0.000436,0.000009
1981,0.000395,0.000007
1982,0.000375,0.000004
1983,0.000367,0.000008
1984,0.000314,0.000006
1985,0.000283,0.000005
1986,0.000355,0.000006
1987,0.000291,0.000006
1988,0.000266,0.000006
1989,0.000237,0.000005
1990,0.000224,0.000005
1991,0.000203,0.000004
1992,0.000195,0.000005
1993,0.000180,0.000004
1994,0.000152,0.000003
1995,0.000137,0.000003
1996,0.000141,0.000002
1997,0.000137,0.000003
1998,0.000143,0.000002
1999,0.000107,0.000000
2000,0.000092,0.000002
2001,0.000079,0.000002
2002,0.000075,0.000000
2003,0.000069,0.000000
2004,0.000065,0.000000
2005,0.000053,0.000000
2006,0.000047,0.000001
2007,0.000048,0.000000
2008,0.000041,0.000000
2009,0.000046,0.000001
2010,0.000041,0.000000
2011,0.000045,0.000000
2012,0.000049,0.000000
2013,0.000055,0.000000
2014,0.000065,0.000002
2015,0.000068,0.000001
2016,0.000067,0.000000
2017,0.000066,0.000002
2018,0.000072,0.000003
2019,0.000067,0.000000
2020,0.000057,0.000003
