year,Reinhard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,5
1912,11
1913,9
1914,11
1915,14
1916,17
1917,16
1918,13
1919,5
1920,11
1921,11
1922,11
1923,8
1924,6
1925,15
1926,8
1927,5
1928,11
1929,13
1930,12
1931,7
1932,5
1933,7
1934,9
1935,0
1936,6
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,6
1950,0
1951,0
1952,8
1953,0
1954,8
1955,8
1956,8
1957,8
1958,14
1959,14
1960,8
1961,11
1962,11
1963,8
1964,6
1965,10
1966,6
1967,0
1968,0
1969,8
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
