year,Rafeal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,6
1955,7
1956,7
1957,6
1958,0
1959,10
1960,5
1961,9
1962,7
1963,0
1964,10
1965,5
1966,5
1967,0
1968,9
1969,6
1970,6
1971,14
1972,20
1973,15
1974,22
1975,16
1976,15
1977,22
1978,19
1979,19
1980,24
1981,21
1982,42
1983,37
1984,31
1985,31
1986,41
1987,34
1988,42
1989,43
1990,23
1991,21
1992,12
1993,16
1994,15
1995,11
1996,9
1997,12
1998,9
1999,11
2000,8
2001,11
2002,16
2003,6
2004,9
2005,13
2006,9
2007,14
2008,10
2009,9
2010,7
2011,13
2012,0
