year,Rollin
1880,16
1881,15
1882,7
1883,15
1884,18
1885,0
1886,11
1887,11
1888,7
1889,13
1890,6
1891,11
1892,9
1893,12
1894,10
1895,9
1896,11
1897,10
1898,10
1899,12
1900,13
1901,12
1902,14
1903,23
1904,12
1905,10
1906,15
1907,11
1908,17
1909,11
1910,18
1911,11
1912,40
1913,43
1914,61
1915,87
1916,95
1917,100
1918,104
1919,103
1920,103
1921,101
1922,83
1923,86
1924,125
1925,137
1926,117
1927,102
1928,99
1929,99
1930,119
1931,111
1932,85
1933,96
1934,96
1935,87
1936,81
1937,78
1938,90
1939,77
1940,88
1941,78
1942,99
1943,84
1944,64
1945,72
1946,79
1947,84
1948,82
1949,85
1950,74
1951,72
1952,62
1953,61
1954,68
1955,53
1956,43
1957,61
1958,42
1959,56
1960,32
1961,55
1962,43
1963,28
1964,35
1965,35
1966,34
1967,38
1968,42
1969,38
1970,28
1971,32
1972,25
1973,21
1974,21
1975,22
1976,11
1977,18
1978,15
1979,34
1980,9
1981,21
1982,20
1983,20
1984,12
1985,19
1986,23
1987,23
1988,21
1989,22
1990,26
1991,18
1992,22
1993,14
1994,17
1995,18
1996,15
1997,19
1998,18
1999,10
2000,13
2001,0
2002,10
2003,22
2004,18
2005,17
2006,16
2007,10
2008,10
2009,15
2010,20
2011,13
2012,14
