year,Rosaura
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,5
1915,5
1916,6
1917,8
1918,12
1919,6
1920,10
1921,18
1922,13
1923,10
1924,6
1925,12
1926,6
1927,9
1928,12
1929,8
1930,6
1931,11
1932,6
1933,5
1934,6
1935,5
1936,0
1937,6
1938,0
1939,8
1940,0
1941,9
1942,9
1943,0
1944,6
1945,10
1946,10
1947,14
1948,9
1949,14
1950,16
1951,19
1952,16
1953,20
1954,19
1955,22
1956,30
1957,27
1958,24
1959,33
1960,28
1961,40
1962,36
1963,43
1964,27
1965,32
1966,29
1967,24
1968,23
1969,26
1970,19
1971,43
1972,39
1973,40
1974,53
1975,41
1976,54
1977,59
1978,50
1979,42
1980,47
1981,43
1982,38
1983,30
1984,35
1985,42
1986,30
1987,25
1988,34
1989,53
1990,39
1991,43
1992,40
1993,47
1994,32
1995,49
1996,30
1997,44
1998,39
1999,30
2000,36
2001,28
2002,44
2003,85
2004,32
2005,36
2006,27
2007,31
2008,18
2009,9
2010,16
2011,20
2012,21
