year,Reagan (F),Reagan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000004
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000005
1917,0.000000,0.000005
1918,0.000000,0.000004
1919,0.000000,0.000002
1920,0.000000,0.000003
1921,0.000000,0.000004
1922,0.000000,0.000003
1923,0.000000,0.000000
1924,0.000000,0.000003
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000003
1928,0.000000,0.000000
1929,0.000000,0.000002
1930,0.000000,0.000004
1931,0.000000,0.000004
1932,0.000000,0.000003
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000003
1938,0.000000,0.000002
1939,0.000000,0.000003
1940,0.000000,0.000003
1941,0.000000,0.000003
1942,0.000000,0.000005
1943,0.000000,0.000005
1944,0.000000,0.000004
1945,0.000000,0.000005
1946,0.000000,0.000005
1947,0.000000,0.000004
1948,0.000000,0.000005
1949,0.000000,0.000005
1950,0.000000,0.000006
1951,0.000000,0.000007
1952,0.000000,0.000006
1953,0.000000,0.000006
1954,0.000000,0.000004
1955,0.000000,0.000004
1956,0.000002,0.000003
1957,0.000000,0.000005
1958,0.000000,0.000005
1959,0.000000,0.000003
1960,0.000000,0.000004
1961,0.000000,0.000002
1962,0.000000,0.000005
1963,0.000003,0.000009
1964,0.000006,0.000006
1965,0.000003,0.000007
1966,0.000004,0.000008
1967,0.000004,0.000009
1968,0.000006,0.000005
1969,0.000007,0.000008
1970,0.000006,0.000009
1971,0.000007,0.000010
1972,0.000006,0.000008
1973,0.000017,0.000011
1974,0.000023,0.000012
1975,0.000044,0.000013
1976,0.000036,0.000009
1977,0.000046,0.000017
1978,0.000053,0.000017
1979,0.000042,0.000014
1980,0.000047,0.000017
1981,0.000032,0.000014
1982,0.000016,0.000009
1983,0.000016,0.000009
1984,0.000017,0.000008
1985,0.000017,0.000010
1986,0.000015,0.000009
1987,0.000016,0.000011
1988,0.000019,0.000012
1989,0.000021,0.000011
1990,0.000022,0.000013
1991,0.000032,0.000012
1992,0.000036,0.000013
1993,0.000053,0.000020
1994,0.000080,0.000023
1995,0.000109,0.000033
1996,0.000155,0.000038
1997,0.000192,0.000046
1998,0.000241,0.000042
1999,0.000234,0.000051
2000,0.000299,0.000048
2001,0.000386,0.000063
2002,0.000435,0.000060
2003,0.000436,0.000053
2004,0.000594,0.000096
2005,0.000631,0.000078
2006,0.000566,0.000066
2007,0.000566,0.000062
2008,0.000607,0.000052
2009,0.000665,0.000055
2010,0.000671,0.000055
2011,0.000714,0.000063
2012,0.000845,0.000064
2013,0.000835,0.000057
2014,0.000783,0.000056
2015,0.000827,0.000056
2016,0.000845,0.000056
2017,0.000842,0.000060
2018,0.000802,0.000058
2019,0.000795,0.000056
2020,0.000713,0.000048
