year,Rayford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,8
1897,0
1898,0
1899,0
1900,6
1901,5
1902,0
1903,5
1904,0
1905,0
1906,5
1907,8
1908,6
1909,13
1910,7
1911,13
1912,23
1913,28
1914,29
1915,44
1916,27
1917,50
1918,60
1919,79
1920,73
1921,71
1922,80
1923,78
1924,81
1925,99
1926,81
1927,93
1928,95
1929,90
1930,90
1931,80
1932,96
1933,78
1934,93
1935,91
1936,82
1937,124
1938,101
1939,88
1940,96
1941,84
1942,92
1943,103
1944,111
1945,77
1946,99
1947,105
1948,90
1949,90
1950,99
1951,96
1952,111
1953,87
1954,96
1955,89
1956,94
1957,81
1958,83
1959,56
1960,76
1961,69
1962,79
1963,61
1964,64
1965,56
1966,57
1967,71
1968,58
1969,50
1970,40
1971,52
1972,43
1973,24
1974,35
1975,36
1976,23
1977,31
1978,29
1979,35
1980,24
1981,30
1982,34
1983,22
1984,30
1985,18
1986,26
1987,22
1988,21
1989,20
1990,22
1991,23
1992,17
1993,8
1994,11
1995,7
1996,12
1997,10
1998,10
1999,11
2000,6
2001,14
2002,12
2003,0
2004,10
2005,11
2006,7
2007,6
2008,10
2009,0
2010,6
2011,5
2012,5
