year,Rush (F),Rush (M)
1880,0.000000,0.000060
1881,0.000000,0.000057
1882,0.000000,0.000045
1883,0.000000,0.000055
1884,0.000000,0.000041
1885,0.000000,0.000000
1886,0.000000,0.000027
1887,0.000000,0.000024
1888,0.000000,0.000027
1889,0.000000,0.000021
1890,0.000000,0.000027
1891,0.000000,0.000045
1892,0.000000,0.000027
1893,0.000000,0.000025
1894,0.000000,0.000027
1895,0.000000,0.000017
1896,0.000000,0.000014
1897,0.000000,0.000035
1898,0.000000,0.000021
1899,0.000000,0.000018
1900,0.000000,0.000020
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000024
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000012
1910,0.000000,0.000017
1911,0.000000,0.000017
1912,0.000000,0.000015
1913,0.000000,0.000020
1914,0.000000,0.000021
1915,0.000000,0.000013
1916,0.000000,0.000011
1917,0.000000,0.000011
1918,0.000000,0.000013
1919,0.000000,0.000020
1920,0.000000,0.000013
1921,0.000000,0.000012
1922,0.000000,0.000009
1923,0.000000,0.000006
1924,0.000000,0.000013
1925,0.000000,0.000010
1926,0.000000,0.000010
1927,0.000000,0.000010
1928,0.000000,0.000011
1929,0.000000,0.000005
1930,0.000000,0.000012
1931,0.000000,0.000008
1932,0.000000,0.000008
1933,0.000000,0.000007
1934,0.000000,0.000013
1935,0.000000,0.000013
1936,0.000000,0.000006
1937,0.000000,0.000008
1938,0.000000,0.000008
1939,0.000000,0.000008
1940,0.000000,0.000014
1941,0.000000,0.000009
1942,0.000000,0.000008
1943,0.000000,0.000008
1944,0.000000,0.000008
1945,0.000000,0.000008
1946,0.000000,0.000006
1947,0.000000,0.000008
1948,0.000000,0.000007
1949,0.000000,0.000004
1950,0.000000,0.000005
1951,0.000000,0.000007
1952,0.000000,0.000003
1953,0.000000,0.000006
1954,0.000000,0.000003
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000002
1958,0.000000,0.000005
1959,0.000000,0.000004
1960,0.000000,0.000003
1961,0.000000,0.000004
1962,0.000000,0.000002
1963,0.000000,0.000003
1964,0.000000,0.000004
1965,0.000000,0.000003
1966,0.000000,0.000003
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000005
1970,0.000000,0.000002
1971,0.000000,0.000004
1972,0.000000,0.000003
1973,0.000000,0.000002
1974,0.000000,0.000003
1975,0.000000,0.000003
1976,0.000000,0.000006
1977,0.000000,0.000002
1978,0.000000,0.000005
1979,0.000000,0.000004
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000002
1983,0.000000,0.000003
1984,0.000000,0.000005
1985,0.000000,0.000005
1986,0.000000,0.000002
1987,0.000000,0.000004
1988,0.000000,0.000003
1989,0.000000,0.000003
1990,0.000000,0.000002
1991,0.000000,0.000003
1992,0.000000,0.000007
1993,0.000000,0.000007
1994,0.000000,0.000006
1995,0.000000,0.000004
1996,0.000000,0.000002
1997,0.000000,0.000003
1998,0.000000,0.000005
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000004
2002,0.000000,0.000005
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000009
2008,0.000000,0.000010
2009,0.000000,0.000019
2010,0.000000,0.000015
2011,0.000000,0.000013
2012,0.000000,0.000014
2013,0.000000,0.000017
