year,Roselyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,6
1899,0
1900,6
1901,6
1902,0
1903,7
1904,7
1905,7
1906,0
1907,5
1908,12
1909,12
1910,11
1911,13
1912,20
1913,30
1914,50
1915,67
1916,68
1917,73
1918,80
1919,80
1920,81
1921,81
1922,111
1923,99
1924,100
1925,114
1926,104
1927,123
1928,113
1929,118
1930,134
1931,125
1932,106
1933,82
1934,85
1935,84
1936,110
1937,97
1938,91
1939,97
1940,106
1941,97
1942,132
1943,119
1944,87
1945,83
1946,91
1947,109
1948,99
1949,83
1950,93
1951,96
1952,105
1953,96
1954,94
1955,97
1956,90
1957,97
1958,73
1959,83
1960,76
1961,73
1962,64
1963,74
1964,68
1965,61
1966,55
1967,51
1968,63
1969,59
1970,43
1971,52
1972,43
1973,47
1974,30
1975,32
1976,23
1977,64
1978,45
1979,42
1980,61
1981,47
1982,34
1983,44
1984,46
1985,54
1986,40
1987,34
1988,33
1989,43
1990,36
1991,47
1992,35
1993,58
1994,44
1995,43
1996,45
1997,41
1998,38
1999,53
2000,48
2001,46
2002,64
2003,240
2004,449
2005,392
2006,402
2007,293
2008,325
2009,289
2010,279
2011,296
2012,312
