year,Rustin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,5
1952,0
1953,10
1954,0
1955,6
1956,9
1957,6
1958,8
1959,40
1960,29
1961,17
1962,17
1963,15
1964,12
1965,14
1966,16
1967,17
1968,25
1969,27
1970,38
1971,36
1972,38
1973,38
1974,63
1975,59
1976,60
1977,56
1978,66
1979,87
1980,85
1981,72
1982,77
1983,71
1984,60
1985,53
1986,63
1987,60
1988,61
1989,53
1990,61
1991,49
1992,44
1993,35
1994,35
1995,43
1996,25
1997,27
1998,35
1999,35
2000,27
2001,27
2002,32
2003,30
2004,24
2005,23
2006,34
2007,32
2008,36
2009,30
2010,24
2011,40
2012,30
