year,Roseanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,5
1915,11
1916,0
1917,6
1918,10
1919,8
1920,14
1921,18
1922,19
1923,21
1924,23
1925,20
1926,21
1927,29
1928,24
1929,35
1930,21
1931,30
1932,26
1933,47
1934,31
1935,44
1936,44
1937,52
1938,61
1939,70
1940,70
1941,92
1942,90
1943,180
1944,141
1945,132
1946,142
1947,160
1948,149
1949,195
1950,228
1951,201
1952,166
1953,172
1954,158
1955,165
1956,142
1957,170
1958,166
1959,162
1960,161
1961,183
1962,171
1963,145
1964,159
1965,137
1966,118
1967,98
1968,113
1969,108
1970,93
1971,80
1972,78
1973,77
1974,78
1975,67
1976,59
1977,63
1978,50
1979,78
1980,72
1981,85
1982,99
1983,75
1984,77
1985,78
1986,74
1987,65
1988,89
1989,126
1990,65
1991,39
1992,39
1993,39
1994,21
1995,14
1996,13
1997,19
1998,11
1999,14
2000,19
2001,13
2002,9
2003,15
2004,14
2005,11
2006,8
2007,0
2008,10
2009,7
2010,0
2011,7
2012,0
