year,Roscoe (F),Roscoe (M)
1880,0.000000,0.000447
1881,0.000000,0.000529
1882,0.000000,0.000366
1883,0.000000,0.000424
1884,0.000000,0.000378
1885,0.000000,0.000407
1886,0.000000,0.000345
1887,0.000000,0.000412
1888,0.000000,0.000471
1889,0.000000,0.000287
1890,0.000000,0.000328
1891,0.000000,0.000248
1892,0.000000,0.000287
1893,0.000000,0.000271
1894,0.000000,0.000266
1895,0.000000,0.000259
1896,0.000000,0.000235
1897,0.000000,0.000213
1898,0.000000,0.000191
1899,0.000000,0.000248
1900,0.000000,0.000213
1901,0.000000,0.000252
1902,0.000000,0.000233
1903,0.000000,0.000181
1904,0.000000,0.000243
1905,0.000000,0.000205
1906,0.000000,0.000210
1907,0.000000,0.000204
1908,0.000000,0.000199
1909,0.000000,0.000209
1910,0.000000,0.000230
1911,0.000000,0.000197
1912,0.000000,0.000267
1913,0.000000,0.000265
1914,0.000000,0.000255
1915,0.000000,0.000276
1916,0.000000,0.000255
1917,0.000000,0.000233
1918,0.000000,0.000258
1919,0.000000,0.000278
1920,0.000000,0.000267
1921,0.000000,0.000236
1922,0.000000,0.000221
1923,0.000000,0.000207
1924,0.000000,0.000186
1925,0.000000,0.000195
1926,0.000000,0.000176
1927,0.000002,0.000162
1928,0.000000,0.000151
1929,0.000000,0.000159
1930,0.000000,0.000159
1931,0.000000,0.000124
1932,0.000000,0.000126
1933,0.000000,0.000136
1934,0.000000,0.000131
1935,0.000000,0.000113
1936,0.000000,0.000116
1937,0.000000,0.000104
1938,0.000000,0.000101
1939,0.000000,0.000105
1940,0.000000,0.000093
1941,0.000000,0.000114
1942,0.000000,0.000083
1943,0.000000,0.000086
1944,0.000000,0.000093
1945,0.000000,0.000085
1946,0.000000,0.000069
1947,0.000000,0.000063
1948,0.000000,0.000068
1949,0.000000,0.000060
1950,0.000000,0.000067
1951,0.000000,0.000057
1952,0.000000,0.000061
1953,0.000000,0.000052
1954,0.000000,0.000046
1955,0.000000,0.000043
1956,0.000000,0.000043
1957,0.000000,0.000045
1958,0.000000,0.000037
1959,0.000000,0.000042
1960,0.000000,0.000038
1961,0.000000,0.000032
1962,0.000000,0.000034
1963,0.000000,0.000031
1964,0.000000,0.000029
1965,0.000000,0.000025
1966,0.000000,0.000031
1967,0.000000,0.000027
1968,0.000000,0.000025
1969,0.000000,0.000022
1970,0.000000,0.000025
1971,0.000000,0.000021
1972,0.000000,0.000024
1973,0.000000,0.000024
1974,0.000000,0.000028
1975,0.000000,0.000022
1976,0.000000,0.000028
1977,0.000000,0.000023
1978,0.000000,0.000026
1979,0.000000,0.000021
1980,0.000000,0.000022
1981,0.000000,0.000023
1982,0.000000,0.000021
1983,0.000000,0.000021
1984,0.000000,0.000016
1985,0.000000,0.000015
1986,0.000000,0.000019
1987,0.000000,0.000015
1988,0.000000,0.000012
1989,0.000000,0.000015
1990,0.000000,0.000011
1991,0.000000,0.000013
1992,0.000000,0.000012
1993,0.000000,0.000008
1994,0.000000,0.000011
1995,0.000000,0.000009
1996,0.000000,0.000006
1997,0.000000,0.000006
1998,0.000000,0.000007
1999,0.000000,0.000009
2000,0.000000,0.000009
2001,0.000000,0.000008
2002,0.000000,0.000010
2003,0.000000,0.000009
2004,0.000000,0.000010
2005,0.000000,0.000010
2006,0.000000,0.000007
2007,0.000000,0.000008
2008,0.000000,0.000012
2009,0.000000,0.000011
2010,0.000000,0.000012
2011,0.000000,0.000013
2012,0.000000,0.000015
2013,0.000000,0.000016
