year,Romana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,5
1903,0
1904,11
1905,6
1906,10
1907,8
1908,9
1909,9
1910,5
1911,7
1912,14
1913,18
1914,19
1915,14
1916,21
1917,15
1918,19
1919,33
1920,18
1921,27
1922,22
1923,18
1924,35
1925,29
1926,23
1927,34
1928,53
1929,32
1930,29
1931,21
1932,22
1933,21
1934,11
1935,19
1936,12
1937,9
1938,21
1939,15
1940,18
1941,8
1942,9
1943,15
1944,10
1945,21
1946,16
1947,8
1948,10
1949,9
1950,11
1951,12
1952,17
1953,9
1954,14
1955,8
1956,18
1957,20
1958,18
1959,15
1960,20
1961,28
1962,13
1963,28
1964,14
1965,18
1966,23
1967,10
1968,23
1969,28
1970,25
1971,22
1972,15
1973,21
1974,13
1975,21
1976,14
1977,16
1978,17
1979,14
1980,11
1981,16
1982,21
1983,12
1984,17
1985,10
1986,10
1987,10
1988,15
1989,11
1990,9
1991,6
1992,11
1993,9
1994,7
1995,8
1996,8
1997,7
1998,10
1999,9
2000,5
2001,10
2002,5
2003,0
2004,10
2005,9
2006,0
2007,11
2008,12
2009,9
2010,5
2011,6
2012,0
