year,Rayanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,7
1947,0
1948,0
1949,5
1950,0
1951,10
1952,8
1953,6
1954,10
1955,10
1956,7
1957,13
1958,15
1959,8
1960,5
1961,7
1962,6
1963,11
1964,7
1965,12
1966,9
1967,12
1968,14
1969,16
1970,8
1971,7
1972,10
1973,8
1974,11
1975,8
1976,7
1977,9
1978,9
1979,13
1980,14
1981,19
1982,9
1983,7
1984,12
1985,12
1986,12
1987,13
1988,11
1989,13
1990,15
1991,20
1992,10
1993,23
1994,28
1995,44
1996,48
1997,57
1998,47
1999,59
2000,38
2001,39
2002,35
2003,32
2004,28
2005,34
2006,24
2007,21
2008,25
2009,12
2010,15
2011,19
2012,11
