year,Raegan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,9
1964,20
1965,17
1966,18
1967,12
1968,9
1969,10
1970,8
1971,9
1972,14
1973,19
1974,54
1975,81
1976,42
1977,81
1978,76
1979,90
1980,85
1981,51
1982,16
1983,16
1984,20
1985,14
1986,22
1987,22
1988,28
1989,29
1990,37
1991,51
1992,59
1993,74
1994,123
1995,158
1996,181
1997,262
1998,284
1999,317
2000,416
2001,486
2002,529
2003,514
2004,615
2005,624
2006,735
2007,825
2008,820
2009,873
2010,896
2011,939
2012,1089
