year,Ricard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,5
1946,0
1947,6
1948,7
1949,9
1950,7
1951,0
1952,9
1953,6
1954,11
1955,10
1956,7
1957,5
1958,10
1959,7
1960,11
1961,9
1962,17
1963,10
1964,9
1965,9
1966,11
1967,8
1968,15
1969,11
1970,5
1971,7
1972,13
1973,0
1974,9
1975,12
1976,5
1977,6
1978,5
1979,0
1980,6
1981,9
1982,11
1983,10
1984,6
1985,6
1986,9
1987,13
1988,13
1989,11
1990,18
1991,5
1992,7
1993,5
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
