year,Robinson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,7
1913,7
1914,15
1915,8
1916,11
1917,12
1918,15
1919,10
1920,12
1921,11
1922,12
1923,7
1924,12
1925,7
1926,13
1927,10
1928,16
1929,8
1930,17
1931,13
1932,16
1933,7
1934,11
1935,8
1936,7
1937,5
1938,7
1939,8
1940,7
1941,9
1942,10
1943,0
1944,10
1945,12
1946,9
1947,10
1948,7
1949,15
1950,13
1951,13
1952,11
1953,14
1954,16
1955,19
1956,15
1957,7
1958,12
1959,13
1960,18
1961,20
1962,26
1963,17
1964,21
1965,16
1966,15
1967,19
1968,17
1969,24
1970,24
1971,22
1972,23
1973,22
1974,16
1975,32
1976,21
1977,19
1978,34
1979,21
1980,28
1981,36
1982,33
1983,39
1984,33
1985,38
1986,45
1987,37
1988,44
1989,54
1990,52
1991,48
1992,53
1993,47
1994,35
1995,38
1996,40
1997,42
1998,40
1999,54
2000,32
2001,44
2002,40
2003,34
2004,30
2005,43
2006,56
2007,38
2008,49
2009,32
2010,45
2011,48
2012,58
