year,Rickey (F),Rickey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000002
1925,0.000000,0.000003
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000002,0.000003
1929,0.000000,0.000003
1930,0.000000,0.000004
1931,0.000000,0.000003
1932,0.000000,0.000002
1933,0.000000,0.000010
1934,0.000000,0.000008
1935,0.000000,0.000005
1936,0.000000,0.000011
1937,0.000000,0.000006
1938,0.000000,0.000009
1939,0.000000,0.000007
1940,0.000000,0.000009
1941,0.000000,0.000017
1942,0.000004,0.000024
1943,0.000002,0.000037
1944,0.000007,0.000077
1945,0.000009,0.000099
1946,0.000005,0.000151
1947,0.000009,0.000225
1948,0.000008,0.000295
1949,0.000006,0.000312
1950,0.000005,0.000372
1951,0.000004,0.000419
1952,0.000006,0.000541
1953,0.000004,0.000739
1954,0.000008,0.000784
1955,0.000005,0.000762
1956,0.000005,0.000791
1957,0.000004,0.000838
1958,0.000009,0.000915
1959,0.000006,0.000830
1960,0.000005,0.000621
1961,0.000007,0.000545
1962,0.000005,0.000465
1963,0.000004,0.000424
1964,0.000005,0.000349
1965,0.000005,0.000308
1966,0.000003,0.000272
1967,0.000003,0.000225
1968,0.000003,0.000228
1969,0.000003,0.000171
1970,0.000002,0.000155
1971,0.000002,0.000154
1972,0.000002,0.000162
1973,0.000002,0.000165
1974,0.000003,0.000156
1975,0.000003,0.000177
1976,0.000003,0.000182
1977,0.000003,0.000174
1978,0.000003,0.000158
1979,0.000002,0.000158
1980,0.000002,0.000168
1981,0.000002,0.000168
1982,0.000002,0.000159
1983,0.000002,0.000144
1984,0.000002,0.000146
1985,0.000002,0.000140
1986,0.000002,0.000122
1987,0.000002,0.000113
1988,0.000000,0.000116
1989,0.000000,0.000110
1990,0.000002,0.000097
1991,0.000000,0.000093
1992,0.000000,0.000084
1993,0.000000,0.000083
1994,0.000000,0.000068
1995,0.000000,0.000069
1996,0.000000,0.000058
1997,0.000000,0.000062
1998,0.000000,0.000044
1999,0.000000,0.000051
2000,0.000000,0.000047
2001,0.000000,0.000045
2002,0.000000,0.000046
2003,0.000000,0.000037
2004,0.000000,0.000037
2005,0.000000,0.000039
2006,0.000000,0.000042
2007,0.000000,0.000037
2008,0.000000,0.000033
2009,0.000000,0.000032
2010,0.000000,0.000032
2011,0.000000,0.000030
2012,0.000000,0.000027
2013,0.000000,0.000029
