year,Roland (F),Roland (M)
1880,0.000000,0.000179
1881,0.000000,0.000156
1882,0.000000,0.000172
1883,0.000000,0.000166
1884,0.000000,0.000177
1885,0.000000,0.000199
1886,0.000000,0.000215
1887,0.000000,0.000198
1888,0.000000,0.000164
1889,0.000000,0.000208
1890,0.000000,0.000226
1891,0.000000,0.000241
1892,0.000000,0.000239
1893,0.000000,0.000280
1894,0.000000,0.000260
1895,0.000000,0.000276
1896,0.000000,0.000257
1897,0.000000,0.000265
1898,0.000000,0.000254
1899,0.000000,0.000298
1900,0.000000,0.000295
1901,0.000000,0.000327
1902,0.000000,0.000297
1903,0.000000,0.000281
1904,0.000000,0.000344
1905,0.000000,0.000337
1906,0.000000,0.000292
1907,0.000000,0.000284
1908,0.000000,0.000319
1909,0.000000,0.000299
1910,0.000000,0.000323
1911,0.000000,0.000357
1912,0.000000,0.000528
1913,0.000000,0.000537
1914,0.000000,0.000623
1915,0.000003,0.000620
1916,0.000004,0.000621
1917,0.000003,0.000640
1918,0.000000,0.000638
1919,0.000004,0.000642
1920,0.000000,0.000663
1921,0.000004,0.000698
1922,0.000005,0.000672
1923,0.000000,0.000729
1924,0.000005,0.000765
1925,0.000003,0.000765
1926,0.000007,0.000741
1927,0.000008,0.000739
1928,0.000005,0.000786
1929,0.000005,0.000789
1930,0.000004,0.000774
1931,0.000005,0.000807
1932,0.000007,0.000763
1933,0.000004,0.000737
1934,0.000002,0.000696
1935,0.000000,0.000711
1936,0.000002,0.000717
1937,0.000003,0.000619
1938,0.000003,0.000646
1939,0.000006,0.000603
1940,0.000002,0.000550
1941,0.000000,0.000528
1942,0.000002,0.000531
1943,0.000002,0.000490
1944,0.000002,0.000471
1945,0.000000,0.000447
1946,0.000000,0.000395
1947,0.000000,0.000398
1948,0.000000,0.000386
1949,0.000000,0.000350
1950,0.000000,0.000341
1951,0.000000,0.000352
1952,0.000001,0.000336
1953,0.000000,0.000332
1954,0.000000,0.000332
1955,0.000002,0.000316
1956,0.000000,0.000296
1957,0.000001,0.000288
1958,0.000000,0.000268
1959,0.000001,0.000278
1960,0.000001,0.000274
1961,0.000002,0.000273
1962,0.000000,0.000265
1963,0.000000,0.000271
1964,0.000002,0.000279
1965,0.000002,0.000258
1966,0.000003,0.000253
1967,0.000000,0.000236
1968,0.000000,0.000236
1969,0.000000,0.000222
1970,0.000002,0.000205
1971,0.000003,0.000186
1972,0.000000,0.000184
1973,0.000000,0.000187
1974,0.000002,0.000170
1975,0.000000,0.000170
1976,0.000003,0.000168
1977,0.000003,0.000149
1978,0.000002,0.000153
1979,0.000002,0.000140
1980,0.000000,0.000139
1981,0.000001,0.000132
1982,0.000000,0.000120
1983,0.000003,0.000117
1984,0.000000,0.000123
1985,0.000000,0.000116
1986,0.000000,0.000107
1987,0.000001,0.000113
1988,0.000000,0.000117
1989,0.000000,0.000105
1990,0.000000,0.000096
1991,0.000000,0.000092
1992,0.000000,0.000093
1993,0.000000,0.000088
1994,0.000000,0.000087
1995,0.000000,0.000078
1996,0.000000,0.000086
1997,0.000000,0.000070
1998,0.000000,0.000069
1999,0.000000,0.000069
2000,0.000000,0.000068
2001,0.000000,0.000065
2002,0.000000,0.000064
2003,0.000000,0.000065
2004,0.000000,0.000062
2005,0.000000,0.000072
2006,0.000000,0.000067
2007,0.000000,0.000075
2008,0.000000,0.000075
2009,0.000000,0.000080
2010,0.000000,0.000079
2011,0.000000,0.000083
2012,0.000000,0.000086
2013,0.000000,0.000099
2014,0.000000,0.000118
2015,0.000000,0.000127
2016,0.000000,0.000139
2017,0.000000,0.000150
2018,0.000000,0.000147
2019,0.000000,0.000155
2020,0.000000,0.000147
