year,Randel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,8
1916,0
1917,5
1918,0
1919,5
1920,9
1921,5
1922,6
1923,8
1924,7
1925,8
1926,13
1927,18
1928,6
1929,8
1930,9
1931,10
1932,6
1933,13
1934,9
1935,13
1936,18
1937,17
1938,16
1939,21
1940,28
1941,29
1942,27
1943,18
1944,30
1945,28
1946,44
1947,57
1948,60
1949,69
1950,84
1951,106
1952,97
1953,117
1954,110
1955,111
1956,111
1957,127
1958,128
1959,109
1960,122
1961,115
1962,112
1963,83
1964,68
1965,75
1966,76
1967,62
1968,42
1969,57
1970,60
1971,48
1972,52
1973,36
1974,38
1975,38
1976,34
1977,34
1978,25
1979,37
1980,34
1981,23
1982,20
1983,37
1984,24
1985,45
1986,39
1987,40
1988,40
1989,38
1990,33
1991,30
1992,28
1993,24
1994,19
1995,20
1996,11
1997,21
1998,18
1999,15
2000,12
2001,11
2002,13
2003,12
2004,6
2005,11
2006,12
2007,11
2008,6
2009,11
2010,11
2011,5
2012,11
