year,Roxane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,5
1928,0
1929,7
1930,6
1931,5
1932,0
1933,0
1934,0
1935,6
1936,0
1937,5
1938,5
1939,5
1940,20
1941,8
1942,12
1943,12
1944,12
1945,12
1946,13
1947,18
1948,15
1949,27
1950,38
1951,55
1952,91
1953,94
1954,119
1955,236
1956,309
1957,290
1958,272
1959,257
1960,281
1961,231
1962,231
1963,206
1964,205
1965,188
1966,172
1967,134
1968,146
1969,136
1970,106
1971,86
1972,60
1973,59
1974,55
1975,46
1976,54
1977,51
1978,57
1979,33
1980,41
1981,26
1982,32
1983,28
1984,40
1985,38
1986,23
1987,36
1988,32
1989,27
1990,11
1991,25
1992,19
1993,12
1994,15
1995,7
1996,11
1997,9
1998,7
1999,13
2000,13
2001,11
2002,9
2003,6
2004,13
2005,11
2006,9
2007,23
2008,16
2009,11
2010,9
2011,5
2012,13
