year,Reatha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,7
1898,0
1899,11
1900,19
1901,6
1902,11
1903,11
1904,10
1905,15
1906,9
1907,17
1908,15
1909,18
1910,25
1911,22
1912,17
1913,33
1914,42
1915,49
1916,44
1917,52
1918,48
1919,44
1920,69
1921,53
1922,55
1923,53
1924,57
1925,60
1926,71
1927,72
1928,50
1929,47
1930,51
1931,45
1932,47
1933,35
1934,42
1935,44
1936,46
1937,46
1938,44
1939,41
1940,29
1941,45
1942,33
1943,38
1944,45
1945,49
1946,38
1947,50
1948,46
1949,49
1950,39
1951,49
1952,50
1953,45
1954,35
1955,36
1956,43
1957,29
1958,39
1959,29
1960,35
1961,25
1962,19
1963,16
1964,19
1965,23
1966,10
1967,15
1968,10
1969,12
1970,11
1971,9
1972,8
1973,5
1974,5
1975,0
1976,0
1977,7
1978,0
1979,6
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
