year,Renzo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,6
1918,6
1919,6
1920,9
1921,9
1922,7
1923,7
1924,7
1925,8
1926,0
1927,6
1928,0
1929,5
1930,7
1931,9
1932,8
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,7
1957,0
1958,6
1959,0
1960,0
1961,6
1962,0
1963,0
1964,6
1965,0
1966,0
1967,0
1968,6
1969,5
1970,5
1971,6
1972,7
1973,7
1974,12
1975,10
1976,7
1977,9
1978,10
1979,0
1980,0
1981,6
1982,0
1983,5
1984,14
1985,15
1986,14
1987,22
1988,14
1989,7
1990,16
1991,17
1992,13
1993,23
1994,13
1995,20
1996,33
1997,36
1998,28
1999,37
2000,56
2001,46
2002,49
2003,51
2004,66
2005,65
2006,63
2007,69
2008,61
2009,60
2010,63
2011,71
2012,52
