year,Raleigh (F),Raleigh (M)
1880,0.000000,0.000069
1881,0.000000,0.000057
1882,0.000000,0.000068
1883,0.000000,0.000078
1884,0.000000,0.000082
1885,0.000000,0.000091
1886,0.000000,0.000090
1887,0.000000,0.000061
1888,0.000000,0.000033
1889,0.000000,0.000073
1890,0.000000,0.000060
1891,0.000000,0.000084
1892,0.000000,0.000060
1893,0.000000,0.000055
1894,0.000000,0.000056
1895,0.000000,0.000046
1896,0.000000,0.000048
1897,0.000000,0.000063
1898,0.000000,0.000045
1899,0.000000,0.000041
1900,0.000000,0.000069
1901,0.000000,0.000055
1902,0.000000,0.000065
1903,0.000000,0.000047
1904,0.000000,0.000050
1905,0.000000,0.000073
1906,0.000000,0.000035
1907,0.000000,0.000054
1908,0.000000,0.000039
1909,0.000000,0.000059
1910,0.000000,0.000037
1911,0.000000,0.000051
1912,0.000000,0.000069
1913,0.000000,0.000062
1914,0.000000,0.000069
1915,0.000000,0.000068
1916,0.000000,0.000053
1917,0.000000,0.000058
1918,0.000000,0.000053
1919,0.000000,0.000046
1920,0.000000,0.000059
1921,0.000000,0.000059
1922,0.000000,0.000058
1923,0.000002,0.000049
1924,0.000000,0.000058
1925,0.000000,0.000043
1926,0.000000,0.000044
1927,0.000000,0.000054
1928,0.000000,0.000041
1929,0.000000,0.000042
1930,0.000000,0.000040
1931,0.000000,0.000046
1932,0.000000,0.000038
1933,0.000000,0.000050
1934,0.000000,0.000052
1935,0.000000,0.000045
1936,0.000000,0.000038
1937,0.000000,0.000039
1938,0.000000,0.000041
1939,0.000000,0.000043
1940,0.000000,0.000038
1941,0.000000,0.000038
1942,0.000000,0.000046
1943,0.000002,0.000038
1944,0.000002,0.000037
1945,0.000000,0.000039
1946,0.000002,0.000031
1947,0.000001,0.000031
1948,0.000000,0.000029
1949,0.000000,0.000027
1950,0.000000,0.000027
1951,0.000000,0.000025
1952,0.000001,0.000026
1953,0.000000,0.000022
1954,0.000000,0.000021
1955,0.000000,0.000019
1956,0.000000,0.000020
1957,0.000000,0.000018
1958,0.000000,0.000022
1959,0.000002,0.000018
1960,0.000000,0.000013
1961,0.000000,0.000017
1962,0.000001,0.000018
1963,0.000000,0.000013
1964,0.000000,0.000013
1965,0.000000,0.000020
1966,0.000000,0.000015
1967,0.000000,0.000013
1968,0.000000,0.000016
1969,0.000001,0.000016
1970,0.000001,0.000016
1971,0.000002,0.000016
1972,0.000000,0.000015
1973,0.000002,0.000012
1974,0.000000,0.000011
1975,0.000000,0.000014
1976,0.000002,0.000015
1977,0.000002,0.000013
1978,0.000003,0.000012
1979,0.000000,0.000013
1980,0.000000,0.000014
1981,0.000000,0.000009
1982,0.000003,0.000014
1983,0.000003,0.000013
1984,0.000003,0.000016
1985,0.000003,0.000015
1986,0.000003,0.000012
1987,0.000005,0.000019
1988,0.000004,0.000014
1989,0.000004,0.000013
1990,0.000006,0.000012
1991,0.000006,0.000015
1992,0.000008,0.000018
1993,0.000007,0.000014
1994,0.000005,0.000016
1995,0.000008,0.000013
1996,0.000006,0.000014
1997,0.000009,0.000016
1998,0.000005,0.000013
1999,0.000008,0.000013
2000,0.000007,0.000013
2001,0.000007,0.000009
2002,0.000007,0.000017
2003,0.000010,0.000015
2004,0.000012,0.000015
2005,0.000013,0.000015
2006,0.000012,0.000013
2007,0.000023,0.000015
2008,0.000022,0.000017
2009,0.000025,0.000013
2010,0.000028,0.000023
2011,0.000027,0.000024
2012,0.000030,0.000022
2013,0.000033,0.000021
