year,Robynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,5
1950,8
1951,7
1952,15
1953,8
1954,19
1955,17
1956,20
1957,18
1958,24
1959,17
1960,29
1961,45
1962,36
1963,29
1964,28
1965,19
1966,25
1967,22
1968,25
1969,27
1970,36
1971,24
1972,31
1973,30
1974,22
1975,27
1976,21
1977,30
1978,24
1979,34
1980,28
1981,22
1982,20
1983,24
1984,15
1985,24
1986,19
1987,18
1988,17
1989,17
1990,21
1991,16
1992,11
1993,13
1994,11
1995,12
1996,13
1997,18
1998,19
1999,8
2000,8
2001,0
2002,9
2003,0
2004,15
2005,5
2006,0
2007,11
2008,6
2009,5
2010,11
2011,6
2012,8
