year,Rondal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,7
1918,12
1919,7
1920,11
1921,15
1922,12
1923,11
1924,7
1925,13
1926,12
1927,12
1928,10
1929,13
1930,19
1931,13
1932,22
1933,20
1934,29
1935,34
1936,36
1937,36
1938,56
1939,40
1940,42
1941,40
1942,53
1943,56
1944,37
1945,45
1946,44
1947,57
1948,40
1949,47
1950,42
1951,34
1952,30
1953,31
1954,36
1955,29
1956,44
1957,33
1958,28
1959,21
1960,41
1961,35
1962,32
1963,43
1964,41
1965,15
1966,18
1967,25
1968,28
1969,30
1970,27
1971,23
1972,24
1973,14
1974,15
1975,15
1976,16
1977,17
1978,14
1979,8
1980,13
1981,10
1982,7
1983,8
1984,14
1985,9
1986,6
1987,9
1988,9
1989,7
1990,10
1991,6
1992,5
1993,6
1994,0
1995,10
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,6
