year,Rilla
1880,17
1881,21
1882,19
1883,23
1884,25
1885,30
1886,31
1887,25
1888,26
1889,27
1890,32
1891,35
1892,38
1893,45
1894,29
1895,40
1896,28
1897,34
1898,35
1899,30
1900,45
1901,30
1902,32
1903,22
1904,27
1905,25
1906,16
1907,21
1908,29
1909,24
1910,25
1911,31
1912,25
1913,18
1914,56
1915,44
1916,48
1917,43
1918,46
1919,45
1920,53
1921,30
1922,36
1923,39
1924,42
1925,42
1926,22
1927,41
1928,34
1929,40
1930,31
1931,30
1932,39
1933,36
1934,27
1935,27
1936,28
1937,39
1938,30
1939,32
1940,32
1941,31
1942,32
1943,31
1944,27
1945,23
1946,36
1947,30
1948,17
1949,24
1950,10
1951,31
1952,19
1953,22
1954,15
1955,24
1956,15
1957,7
1958,21
1959,11
1960,9
1961,12
1962,6
1963,10
1964,13
1965,8
1966,0
1967,8
1968,6
1969,7
1970,5
1971,0
1972,0
1973,0
1974,7
1975,0
1976,5
1977,0
1978,6
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,7
2007,0
2008,5
2009,0
2010,11
2011,0
2012,8
