year,Raffaela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,5
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,6
1907,5
1908,9
1909,5
1910,7
1911,9
1912,12
1913,11
1914,17
1915,26
1916,25
1917,29
1918,25
1919,14
1920,23
1921,28
1922,34
1923,22
1924,27
1925,21
1926,21
1927,14
1928,19
1929,12
1930,15
1931,18
1932,15
1933,16
1934,9
1935,9
1936,8
1937,11
1938,9
1939,14
1940,11
1941,5
1942,11
1943,13
1944,0
1945,6
1946,5
1947,7
1948,6
1949,11
1950,0
1951,5
1952,0
1953,6
1954,5
1955,0
1956,8
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,6
1971,9
1972,6
1973,7
1974,5
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,7
1989,5
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
