year,Reynaldo (F),Reynaldo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000017
1912,0.000000,0.000012
1913,0.000000,0.000012
1914,0.000000,0.000015
1915,0.000000,0.000015
1916,0.000000,0.000011
1917,0.000000,0.000014
1918,0.000000,0.000010
1919,0.000000,0.000019
1920,0.000000,0.000015
1921,0.000000,0.000030
1922,0.000000,0.000023
1923,0.000000,0.000023
1924,0.000000,0.000026
1925,0.000000,0.000030
1926,0.000000,0.000030
1927,0.000000,0.000029
1928,0.000000,0.000023
1929,0.000000,0.000033
1930,0.000000,0.000031
1931,0.000000,0.000044
1932,0.000000,0.000042
1933,0.000000,0.000038
1934,0.000000,0.000040
1935,0.000000,0.000041
1936,0.000000,0.000035
1937,0.000000,0.000041
1938,0.000000,0.000047
1939,0.000000,0.000041
1940,0.000000,0.000041
1941,0.000000,0.000041
1942,0.000000,0.000037
1943,0.000000,0.000055
1944,0.000000,0.000054
1945,0.000000,0.000054
1946,0.000000,0.000048
1947,0.000000,0.000045
1948,0.000000,0.000048
1949,0.000000,0.000054
1950,0.000000,0.000051
1951,0.000000,0.000062
1952,0.000000,0.000042
1953,0.000000,0.000048
1954,0.000000,0.000055
1955,0.000000,0.000051
1956,0.000000,0.000054
1957,0.000000,0.000062
1958,0.000000,0.000053
1959,0.000000,0.000051
1960,0.000000,0.000056
1961,0.000000,0.000060
1962,0.000000,0.000061
1963,0.000000,0.000072
1964,0.000000,0.000067
1965,0.000000,0.000075
1966,0.000000,0.000079
1967,0.000000,0.000084
1968,0.000000,0.000072
1969,0.000000,0.000065
1970,0.000000,0.000078
1971,0.000002,0.000085
1972,0.000000,0.000076
1973,0.000000,0.000077
1974,0.000000,0.000093
1975,0.000000,0.000084
1976,0.000000,0.000090
1977,0.000000,0.000081
1978,0.000000,0.000085
1979,0.000000,0.000083
1980,0.000000,0.000087
1981,0.000000,0.000073
1982,0.000000,0.000085
1983,0.000002,0.000081
1984,0.000000,0.000083
1985,0.000000,0.000074
1986,0.000000,0.000078
1987,0.000002,0.000079
1988,0.000001,0.000077
1989,0.000000,0.000076
1990,0.000000,0.000086
1991,0.000000,0.000089
1992,0.000000,0.000076
1993,0.000000,0.000079
1994,0.000000,0.000080
1995,0.000000,0.000075
1996,0.000000,0.000066
1997,0.000000,0.000065
1998,0.000000,0.000063
1999,0.000000,0.000062
2000,0.000000,0.000058
2001,0.000000,0.000073
2002,0.000000,0.000074
2003,0.000000,0.000057
2004,0.000000,0.000072
2005,0.000000,0.000060
2006,0.000000,0.000061
2007,0.000000,0.000060
2008,0.000000,0.000054
2009,0.000000,0.000056
2010,0.000000,0.000047
2011,0.000000,0.000048
2012,0.000000,0.000038
2013,0.000000,0.000037
2014,0.000000,0.000038
2015,0.000000,0.000046
2016,0.000000,0.000039
2017,0.000000,0.000043
2018,0.000000,0.000039
2019,0.000000,0.000040
2020,0.000000,0.000037
