year,Raymon (F),Raymon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000017
1896,0.000000,0.000022
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000029
1900,0.000000,0.000027
1901,0.000000,0.000023
1902,0.000000,0.000028
1903,0.000000,0.000031
1904,0.000000,0.000025
1905,0.000000,0.000035
1906,0.000000,0.000021
1907,0.000000,0.000039
1908,0.000000,0.000023
1909,0.000000,0.000020
1910,0.000000,0.000036
1911,0.000000,0.000034
1912,0.000000,0.000036
1913,0.000000,0.000040
1914,0.000000,0.000037
1915,0.000000,0.000038
1916,0.000000,0.000042
1917,0.000000,0.000041
1918,0.000000,0.000048
1919,0.000000,0.000051
1920,0.000000,0.000049
1921,0.000000,0.000054
1922,0.000000,0.000045
1923,0.000000,0.000055
1924,0.000000,0.000053
1925,0.000000,0.000053
1926,0.000000,0.000063
1927,0.000000,0.000058
1928,0.000000,0.000058
1929,0.000000,0.000060
1930,0.000000,0.000058
1931,0.000000,0.000055
1932,0.000000,0.000060
1933,0.000000,0.000045
1934,0.000000,0.000067
1935,0.000000,0.000055
1936,0.000000,0.000052
1937,0.000000,0.000047
1938,0.000000,0.000040
1939,0.000000,0.000037
1940,0.000000,0.000040
1941,0.000000,0.000041
1942,0.000000,0.000023
1943,0.000000,0.000027
1944,0.000000,0.000028
1945,0.000000,0.000029
1946,0.000000,0.000022
1947,0.000000,0.000022
1948,0.000000,0.000017
1949,0.000000,0.000016
1950,0.000000,0.000019
1951,0.000000,0.000017
1952,0.000000,0.000017
1953,0.000000,0.000018
1954,0.000000,0.000017
1955,0.000000,0.000014
1956,0.000000,0.000019
1957,0.000000,0.000015
1958,0.000000,0.000011
1959,0.000000,0.000016
1960,0.000000,0.000019
1961,0.000000,0.000013
1962,0.000000,0.000013
1963,0.000000,0.000015
1964,0.000000,0.000016
1965,0.000000,0.000016
1966,0.000000,0.000012
1967,0.000000,0.000014
1968,0.000000,0.000016
1969,0.000000,0.000015
1970,0.000000,0.000013
1971,0.000000,0.000017
1972,0.000000,0.000014
1973,0.000000,0.000019
1974,0.000000,0.000016
1975,0.000000,0.000017
1976,0.000000,0.000019
1977,0.000000,0.000016
1978,0.000000,0.000015
1979,0.000000,0.000015
1980,0.000000,0.000019
1981,0.000000,0.000016
1982,0.000000,0.000017
1983,0.000000,0.000013
1984,0.000000,0.000017
1985,0.000000,0.000019
1986,0.000000,0.000019
1987,0.000000,0.000022
1988,0.000000,0.000015
1989,0.000000,0.000018
1990,0.000000,0.000020
1991,0.000000,0.000016
1992,0.000000,0.000019
1993,0.000000,0.000017
1994,0.000000,0.000016
1995,0.000000,0.000017
1996,0.000000,0.000016
1997,0.000000,0.000015
1998,0.000000,0.000020
1999,0.000000,0.000018
2000,0.000000,0.000015
2001,0.000000,0.000018
2002,0.000000,0.000020
2003,0.000000,0.000014
2004,0.000000,0.000012
2005,0.000000,0.000014
2006,0.000000,0.000014
2007,0.000000,0.000016
2008,0.000000,0.000017
2009,0.000000,0.000010
2010,0.000000,0.000012
2011,0.000000,0.000011
2012,0.000000,0.000011
