year,Rafael (F),Rafael (M)
1880,0.000000,0.000035
1881,0.000000,0.000047
1882,0.000000,0.000027
1883,0.000000,0.000032
1884,0.000000,0.000021
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000032
1888,0.000000,0.000030
1889,0.000000,0.000028
1890,0.000000,0.000030
1891,0.000000,0.000021
1892,0.000000,0.000021
1893,0.000000,0.000018
1894,0.000000,0.000024
1895,0.000000,0.000031
1896,0.000000,0.000020
1897,0.000000,0.000035
1898,0.000000,0.000021
1899,0.000000,0.000029
1900,0.000000,0.000027
1901,0.000000,0.000046
1902,0.000000,0.000026
1903,0.000000,0.000034
1904,0.000000,0.000055
1905,0.000000,0.000040
1906,0.000000,0.000049
1907,0.000000,0.000039
1908,0.000000,0.000045
1909,0.000000,0.000041
1910,0.000000,0.000049
1911,0.000000,0.000039
1912,0.000000,0.000043
1913,0.000000,0.000045
1914,0.000000,0.000040
1915,0.000000,0.000037
1916,0.000000,0.000038
1917,0.000000,0.000038
1918,0.000000,0.000037
1919,0.000000,0.000051
1920,0.000000,0.000055
1921,0.000000,0.000060
1922,0.000000,0.000064
1923,0.000003,0.000065
1924,0.000000,0.000073
1925,0.000000,0.000076
1926,0.000000,0.000072
1927,0.000002,0.000086
1928,0.000000,0.000095
1929,0.000003,0.000097
1930,0.000000,0.000096
1931,0.000000,0.000090
1932,0.000003,0.000080
1933,0.000000,0.000065
1934,0.000000,0.000064
1935,0.000000,0.000059
1936,0.000003,0.000056
1937,0.000000,0.000050
1938,0.000000,0.000050
1939,0.000002,0.000050
1940,0.000000,0.000052
1941,0.000000,0.000049
1942,0.000000,0.000054
1943,0.000000,0.000050
1944,0.000000,0.000066
1945,0.000000,0.000064
1946,0.000000,0.000062
1947,0.000000,0.000066
1948,0.000000,0.000077
1949,0.000000,0.000074
1950,0.000000,0.000086
1951,0.000000,0.000074
1952,0.000000,0.000097
1953,0.000000,0.000085
1954,0.000001,0.000106
1955,0.000001,0.000104
1956,0.000000,0.000108
1957,0.000001,0.000093
1958,0.000001,0.000121
1959,0.000000,0.000121
1960,0.000000,0.000130
1961,0.000003,0.000140
1962,0.000001,0.000141
1963,0.000003,0.000134
1964,0.000000,0.000149
1965,0.000002,0.000170
1966,0.000002,0.000178
1967,0.000000,0.000197
1968,0.000000,0.000228
1969,0.000002,0.000236
1970,0.000002,0.000262
1971,0.000006,0.000252
1972,0.000004,0.000295
1973,0.000004,0.000300
1974,0.000003,0.000305
1975,0.000003,0.000327
1976,0.000004,0.000321
1977,0.000007,0.000324
1978,0.000005,0.000314
1979,0.000003,0.000308
1980,0.000006,0.000344
1981,0.000003,0.000350
1982,0.000006,0.000358
1983,0.000005,0.000342
1984,0.000004,0.000328
1985,0.000004,0.000349
1986,0.000003,0.000339
1987,0.000005,0.000337
1988,0.000003,0.000346
1989,0.000005,0.000343
1990,0.000003,0.000380
1991,0.000003,0.000380
1992,0.000004,0.000386
1993,0.000006,0.000379
1994,0.000003,0.000385
1995,0.000003,0.000399
1996,0.000003,0.000384
1997,0.000003,0.000375
1998,0.000003,0.000377
1999,0.000002,0.000390
2000,0.000000,0.000389
2001,0.000002,0.000389
2002,0.000002,0.000389
2003,0.000002,0.000371
2004,0.000002,0.000405
2005,0.000001,0.000388
2006,0.000002,0.000430
2007,0.000000,0.000406
2008,0.000002,0.000392
2009,0.000002,0.000352
2010,0.000000,0.000361
2011,0.000000,0.000349
2012,0.000000,0.000337
2013,0.000000,0.000332
