year,Rosalva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,6
1927,0
1928,5
1929,7
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,0
1939,5
1940,0
1941,0
1942,6
1943,8
1944,8
1945,8
1946,6
1947,6
1948,8
1949,5
1950,11
1951,14
1952,13
1953,10
1954,16
1955,30
1956,26
1957,40
1958,35
1959,30
1960,33
1961,35
1962,35
1963,25
1964,42
1965,38
1966,31
1967,35
1968,27
1969,37
1970,42
1971,37
1972,45
1973,42
1974,63
1975,65
1976,61
1977,65
1978,54
1979,44
1980,64
1981,53
1982,44
1983,46
1984,35
1985,43
1986,38
1987,35
1988,35
1989,33
1990,27
1991,34
1992,43
1993,38
1994,38
1995,37
1996,28
1997,22
1998,25
1999,31
2000,18
2001,22
2002,12
2003,16
2004,19
2005,13
2006,12
2007,11
2008,17
2009,6
2010,6
2011,12
2012,6
