year,Roderic
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,8
1916,14
1917,7
1918,8
1919,13
1920,13
1921,6
1922,8
1923,8
1924,7
1925,9
1926,14
1927,17
1928,23
1929,14
1930,15
1931,19
1932,18
1933,18
1934,17
1935,18
1936,11
1937,13
1938,18
1939,17
1940,19
1941,29
1942,13
1943,21
1944,15
1945,23
1946,27
1947,28
1948,25
1949,27
1950,21
1951,38
1952,33
1953,30
1954,37
1955,29
1956,35
1957,37
1958,35
1959,43
1960,38
1961,49
1962,59
1963,58
1964,50
1965,68
1966,56
1967,45
1968,50
1969,55
1970,65
1971,44
1972,48
1973,48
1974,44
1975,28
1976,42
1977,35
1978,31
1979,30
1980,21
1981,16
1982,15
1983,12
1984,14
1985,20
1986,17
1987,21
1988,19
1989,17
1990,19
1991,17
1992,19
1993,12
1994,18
1995,14
1996,10
1997,17
1998,13
1999,16
2000,12
2001,13
2002,5
2003,13
2004,12
2005,12
2006,0
2007,0
2008,6
2009,9
2010,5
2011,7
2012,7
