year,Roderick (F),Roderick (M)
1880,0.000000,0.000035
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000033
1886,0.000000,0.000020
1887,0.000000,0.000053
1888,0.000000,0.000023
1889,0.000000,0.000031
1890,0.000000,0.000027
1891,0.000000,0.000052
1892,0.000000,0.000021
1893,0.000000,0.000018
1894,0.000000,0.000030
1895,0.000000,0.000000
1896,0.000000,0.000025
1897,0.000000,0.000026
1898,0.000000,0.000031
1899,0.000000,0.000018
1900,0.000000,0.000029
1901,0.000000,0.000023
1902,0.000000,0.000021
1903,0.000000,0.000037
1904,0.000000,0.000022
1905,0.000000,0.000012
1906,0.000000,0.000028
1907,0.000000,0.000019
1908,0.000000,0.000027
1909,0.000000,0.000022
1910,0.000000,0.000024
1911,0.000000,0.000026
1912,0.000000,0.000047
1913,0.000000,0.000065
1914,0.000000,0.000046
1915,0.000000,0.000046
1916,0.000000,0.000042
1917,0.000000,0.000048
1918,0.000000,0.000041
1919,0.000000,0.000036
1920,0.000000,0.000046
1921,0.000000,0.000046
1922,0.000000,0.000060
1923,0.000000,0.000056
1924,0.000000,0.000058
1925,0.000000,0.000063
1926,0.000000,0.000076
1927,0.000000,0.000077
1928,0.000000,0.000081
1929,0.000000,0.000080
1930,0.000000,0.000069
1931,0.000000,0.000074
1932,0.000000,0.000066
1933,0.000000,0.000083
1934,0.000000,0.000081
1935,0.000000,0.000072
1936,0.000000,0.000087
1937,0.000000,0.000088
1938,0.000000,0.000086
1939,0.000000,0.000086
1940,0.000000,0.000070
1941,0.000000,0.000066
1942,0.000000,0.000074
1943,0.000000,0.000079
1944,0.000000,0.000087
1945,0.000000,0.000093
1946,0.000000,0.000094
1947,0.000000,0.000102
1948,0.000000,0.000105
1949,0.000000,0.000115
1950,0.000000,0.000137
1951,0.000000,0.000126
1952,0.000000,0.000143
1953,0.000000,0.000164
1954,0.000000,0.000144
1955,0.000000,0.000161
1956,0.000001,0.000166
1957,0.000000,0.000181
1958,0.000001,0.000169
1959,0.000000,0.000195
1960,0.000000,0.000203
1961,0.000001,0.000217
1962,0.000003,0.000231
1963,0.000002,0.000250
1964,0.000000,0.000264
1965,0.000002,0.000275
1966,0.000002,0.000276
1967,0.000003,0.000297
1968,0.000003,0.000295
1969,0.000003,0.000282
1970,0.000002,0.000289
1971,0.000003,0.000307
1972,0.000003,0.000299
1973,0.000003,0.000302
1974,0.000004,0.000290
1975,0.000004,0.000263
1976,0.000005,0.000258
1977,0.000002,0.000239
1978,0.000004,0.000217
1979,0.000003,0.000225
1980,0.000003,0.000220
1981,0.000004,0.000215
1982,0.000003,0.000211
1983,0.000003,0.000197
1984,0.000003,0.000180
1985,0.000002,0.000188
1986,0.000003,0.000178
1987,0.000002,0.000165
1988,0.000002,0.000154
1989,0.000000,0.000159
1990,0.000000,0.000151
1991,0.000000,0.000138
1992,0.000000,0.000133
1993,0.000000,0.000130
1994,0.000000,0.000118
1995,0.000000,0.000109
1996,0.000000,0.000099
1997,0.000000,0.000099
1998,0.000000,0.000079
1999,0.000000,0.000090
2000,0.000000,0.000082
2001,0.000000,0.000077
2002,0.000000,0.000082
2003,0.000000,0.000063
2004,0.000000,0.000069
2005,0.000000,0.000065
2006,0.000000,0.000074
2007,0.000000,0.000064
2008,0.000000,0.000055
2009,0.000000,0.000060
2010,0.000000,0.000056
2011,0.000000,0.000060
2012,0.000000,0.000056
