year,Rommie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,7
1916,0
1917,9
1918,0
1919,0
1920,6
1921,6
1922,5
1923,8
1924,6
1925,5
1926,5
1927,0
1928,5
1929,7
1930,7
1931,7
1932,8
1933,10
1934,11
1935,14
1936,9
1937,10
1938,10
1939,16
1940,11
1941,11
1942,16
1943,12
1944,18
1945,10
1946,13
1947,19
1948,17
1949,13
1950,14
1951,18
1952,7
1953,13
1954,11
1955,15
1956,8
1957,10
1958,15
1959,13
1960,9
1961,7
1962,8
1963,10
1964,7
1965,6
1966,9
1967,5
1968,0
1969,8
1970,5
1971,5
1972,8
1973,8
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,7
1981,7
1982,10
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,7
1991,6
1992,0
1993,0
1994,9
1995,0
1996,0
1997,0
1998,0
1999,7
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
