year,Reid (F),Reid (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000023
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000023
1891,0.000000,0.000000
1892,0.000000,0.000027
1893,0.000000,0.000000
1894,0.000000,0.000041
1895,0.000000,0.000031
1896,0.000000,0.000020
1897,0.000000,0.000023
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000023
1902,0.000000,0.000000
1903,0.000000,0.000021
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000016
1907,0.000000,0.000019
1908,0.000000,0.000018
1909,0.000000,0.000018
1910,0.000000,0.000010
1911,0.000000,0.000014
1912,0.000000,0.000028
1913,0.000000,0.000023
1914,0.000000,0.000024
1915,0.000000,0.000023
1916,0.000000,0.000020
1917,0.000000,0.000027
1918,0.000000,0.000024
1919,0.000000,0.000034
1920,0.000000,0.000034
1921,0.000000,0.000028
1922,0.000000,0.000037
1923,0.000000,0.000034
1924,0.000000,0.000037
1925,0.000000,0.000033
1926,0.000000,0.000028
1927,0.000000,0.000030
1928,0.000000,0.000032
1929,0.000000,0.000022
1930,0.000000,0.000026
1931,0.000000,0.000024
1932,0.000000,0.000027
1933,0.000000,0.000022
1934,0.000000,0.000025
1935,0.000000,0.000024
1936,0.000000,0.000025
1937,0.000000,0.000023
1938,0.000000,0.000022
1939,0.000000,0.000021
1940,0.000000,0.000028
1941,0.000000,0.000026
1942,0.000000,0.000026
1943,0.000000,0.000028
1944,0.000000,0.000025
1945,0.000000,0.000026
1946,0.000000,0.000029
1947,0.000000,0.000033
1948,0.000000,0.000032
1949,0.000000,0.000043
1950,0.000000,0.000040
1951,0.000000,0.000043
1952,0.000000,0.000053
1953,0.000000,0.000050
1954,0.000000,0.000045
1955,0.000000,0.000047
1956,0.000000,0.000046
1957,0.000000,0.000045
1958,0.000000,0.000041
1959,0.000000,0.000038
1960,0.000000,0.000031
1961,0.000000,0.000035
1962,0.000001,0.000032
1963,0.000000,0.000038
1964,0.000000,0.000037
1965,0.000000,0.000033
1966,0.000000,0.000035
1967,0.000000,0.000040
1968,0.000000,0.000035
1969,0.000001,0.000046
1970,0.000000,0.000057
1971,0.000000,0.000046
1972,0.000000,0.000049
1973,0.000000,0.000041
1974,0.000000,0.000054
1975,0.000000,0.000055
1976,0.000000,0.000050
1977,0.000000,0.000042
1978,0.000000,0.000060
1979,0.000000,0.000056
1980,0.000000,0.000061
1981,0.000000,0.000070
1982,0.000000,0.000074
1983,0.000000,0.000083
1984,0.000000,0.000083
1985,0.000002,0.000083
1986,0.000001,0.000082
1987,0.000001,0.000091
1988,0.000000,0.000091
1989,0.000001,0.000080
1990,0.000000,0.000086
1991,0.000000,0.000094
1992,0.000003,0.000126
1993,0.000006,0.000116
1994,0.000009,0.000143
1995,0.000008,0.000168
1996,0.000009,0.000139
1997,0.000007,0.000134
1998,0.000005,0.000149
1999,0.000006,0.000139
2000,0.000004,0.000144
2001,0.000007,0.000144
2002,0.000004,0.000148
2003,0.000005,0.000145
2004,0.000007,0.000154
2005,0.000005,0.000163
2006,0.000006,0.000173
2007,0.000005,0.000170
2008,0.000006,0.000221
2009,0.000006,0.000237
2010,0.000008,0.000311
2011,0.000005,0.000308
2012,0.000009,0.000330
2013,0.000010,0.000378
