year,Randa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,6
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,8
1940,7
1941,16
1942,15
1943,23
1944,32
1945,29
1946,57
1947,67
1948,59
1949,55
1950,67
1951,58
1952,56
1953,80
1954,57
1955,50
1956,54
1957,53
1958,46
1959,30
1960,50
1961,36
1962,31
1963,50
1964,39
1965,49
1966,46
1967,43
1968,44
1969,51
1970,54
1971,49
1972,52
1973,42
1974,45
1975,56
1976,53
1977,76
1978,65
1979,84
1980,93
1981,75
1982,90
1983,56
1984,70
1985,84
1986,62
1987,81
1988,72
1989,53
1990,78
1991,107
1992,76
1993,69
1994,75
1995,50
1996,57
1997,52
1998,39
1999,48
2000,34
2001,36
2002,30
2003,18
2004,18
2005,22
2006,22
2007,16
2008,14
2009,11
2010,7
2011,5
2012,14
