year,Ruthe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,5
1900,10
1901,0
1902,5
1903,5
1904,5
1905,0
1906,10
1907,8
1908,11
1909,11
1910,9
1911,12
1912,18
1913,26
1914,32
1915,48
1916,53
1917,61
1918,79
1919,74
1920,97
1921,92
1922,100
1923,112
1924,122
1925,111
1926,66
1927,77
1928,58
1929,42
1930,40
1931,35
1932,42
1933,23
1934,32
1935,22
1936,29
1937,21
1938,23
1939,17
1940,16
1941,13
1942,15
1943,21
1944,22
1945,14
1946,11
1947,15
1948,15
1949,21
1950,15
1951,15
1952,9
1953,12
1954,8
1955,16
1956,9
1957,8
1958,0
1959,0
1960,11
1961,9
1962,0
1963,6
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
