year,Randal (F),Randal (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000018
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000007
1913,0.000000,0.000005
1914,0.000000,0.000010
1915,0.000000,0.000010
1916,0.000000,0.000010
1917,0.000000,0.000007
1918,0.000000,0.000011
1919,0.000000,0.000007
1920,0.000000,0.000008
1921,0.000000,0.000008
1922,0.000000,0.000010
1923,0.000000,0.000010
1924,0.000000,0.000009
1925,0.000000,0.000006
1926,0.000000,0.000012
1927,0.000000,0.000007
1928,0.000000,0.000010
1929,0.000000,0.000009
1930,0.000000,0.000015
1931,0.000000,0.000009
1932,0.000000,0.000016
1933,0.000000,0.000011
1934,0.000000,0.000011
1935,0.000000,0.000017
1936,0.000000,0.000017
1937,0.000000,0.000015
1938,0.000000,0.000023
1939,0.000000,0.000024
1940,0.000000,0.000022
1941,0.000000,0.000029
1942,0.000000,0.000023
1943,0.000000,0.000031
1944,0.000000,0.000038
1945,0.000000,0.000046
1946,0.000000,0.000059
1947,0.000000,0.000074
1948,0.000000,0.000089
1949,0.000001,0.000129
1950,0.000000,0.000140
1951,0.000000,0.000180
1952,0.000000,0.000192
1953,0.000000,0.000200
1954,0.000000,0.000225
1955,0.000000,0.000280
1956,0.000000,0.000320
1957,0.000000,0.000347
1958,0.000000,0.000357
1959,0.000001,0.000345
1960,0.000000,0.000307
1961,0.000001,0.000279
1962,0.000001,0.000252
1963,0.000000,0.000231
1964,0.000000,0.000212
1965,0.000000,0.000190
1966,0.000000,0.000199
1967,0.000002,0.000194
1968,0.000000,0.000175
1969,0.000000,0.000165
1970,0.000000,0.000155
1971,0.000000,0.000131
1972,0.000000,0.000122
1973,0.000000,0.000118
1974,0.000000,0.000098
1975,0.000000,0.000100
1976,0.000000,0.000086
1977,0.000000,0.000086
1978,0.000000,0.000077
1979,0.000000,0.000071
1980,0.000000,0.000068
1981,0.000000,0.000079
1982,0.000000,0.000072
1983,0.000000,0.000067
1984,0.000000,0.000066
1985,0.000000,0.000073
1986,0.000010,0.000065
1987,0.000007,0.000065
1988,0.000003,0.000061
1989,0.000002,0.000062
1990,0.000002,0.000050
1991,0.000001,0.000046
1992,0.000000,0.000040
1993,0.000001,0.000044
1994,0.000002,0.000037
1995,0.000000,0.000031
1996,0.000000,0.000022
1997,0.000000,0.000030
1998,0.000000,0.000024
1999,0.000000,0.000026
2000,0.000000,0.000019
2001,0.000000,0.000014
2002,0.000000,0.000019
2003,0.000000,0.000014
2004,0.000000,0.000015
2005,0.000000,0.000010
2006,0.000000,0.000014
2007,0.000000,0.000014
2008,0.000000,0.000012
2009,0.000000,0.000007
2010,0.000000,0.000012
2011,0.000000,0.000010
2012,0.000000,0.000007
2013,0.000000,0.000007
2014,0.000000,0.000008
2015,0.000000,0.000011
2016,0.000000,0.000007
2017,0.000000,0.000008
2018,0.000000,0.000009
2019,0.000000,0.000006
2020,0.000000,0.000009
