year,Regis (F),Regis (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000020
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000012
1906,0.000000,0.000014
1907,0.000000,0.000011
1908,0.000000,0.000018
1909,0.000000,0.000012
1910,0.000000,0.000024
1911,0.000000,0.000034
1912,0.000006,0.000026
1913,0.000005,0.000029
1914,0.000004,0.000036
1915,0.000003,0.000033
1916,0.000003,0.000033
1917,0.000004,0.000049
1918,0.000003,0.000029
1919,0.000003,0.000026
1920,0.000004,0.000032
1921,0.000003,0.000030
1922,0.000003,0.000038
1923,0.000004,0.000032
1924,0.000003,0.000024
1925,0.000004,0.000026
1926,0.000002,0.000029
1927,0.000000,0.000025
1928,0.000003,0.000031
1929,0.000002,0.000031
1930,0.000004,0.000032
1931,0.000002,0.000038
1932,0.000005,0.000034
1933,0.000004,0.000033
1934,0.000002,0.000039
1935,0.000002,0.000032
1936,0.000003,0.000038
1937,0.000000,0.000038
1938,0.000003,0.000033
1939,0.000000,0.000031
1940,0.000003,0.000032
1941,0.000002,0.000036
1942,0.000003,0.000034
1943,0.000003,0.000030
1944,0.000000,0.000029
1945,0.000000,0.000028
1946,0.000002,0.000028
1947,0.000000,0.000024
1948,0.000002,0.000024
1949,0.000002,0.000025
1950,0.000000,0.000021
1951,0.000002,0.000022
1952,0.000003,0.000017
1953,0.000002,0.000022
1954,0.000002,0.000017
1955,0.000001,0.000018
1956,0.000000,0.000012
1957,0.000002,0.000017
1958,0.000002,0.000014
1959,0.000000,0.000012
1960,0.000001,0.000011
1961,0.000000,0.000011
1962,0.000000,0.000012
1963,0.000000,0.000012
1964,0.000000,0.000015
1965,0.000000,0.000012
1966,0.000000,0.000008
1967,0.000000,0.000013
1968,0.000000,0.000013
1969,0.000000,0.000010
1970,0.000001,0.000009
1971,0.000000,0.000011
1972,0.000000,0.000006
1973,0.000000,0.000007
1974,0.000000,0.000010
1975,0.000000,0.000006
1976,0.000000,0.000010
1977,0.000000,0.000008
1978,0.000000,0.000008
1979,0.000000,0.000006
1980,0.000002,0.000006
1981,0.000002,0.000009
1982,0.000002,0.000010
1983,0.000000,0.000010
1984,0.000001,0.000007
1985,0.000002,0.000013
1986,0.000002,0.000013
1987,0.000002,0.000014
1988,0.000001,0.000012
1989,0.000000,0.000017
1990,0.000001,0.000017
1991,0.000002,0.000012
1992,0.000000,0.000014
1993,0.000000,0.000009
1994,0.000000,0.000006
1995,0.000000,0.000008
1996,0.000000,0.000007
1997,0.000001,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000005
2002,0.000000,0.000004
2003,0.000000,0.000003
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000002
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000003
2012,0.000000,0.000003
2013,0.000000,0.000003
