year,Rogelio (F),Rogelio (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000003
1916,0.000000,0.000005
1917,0.000000,0.000003
1918,0.000000,0.000006
1919,0.000000,0.000005
1920,0.000000,0.000009
1921,0.000000,0.000006
1922,0.000000,0.000009
1923,0.000000,0.000011
1924,0.000000,0.000011
1925,0.000000,0.000016
1926,0.000000,0.000018
1927,0.000000,0.000017
1928,0.000000,0.000018
1929,0.000000,0.000021
1930,0.000000,0.000021
1931,0.000000,0.000023
1932,0.000000,0.000018
1933,0.000000,0.000024
1934,0.000000,0.000027
1935,0.000000,0.000021
1936,0.000000,0.000026
1937,0.000000,0.000022
1938,0.000000,0.000020
1939,0.000000,0.000029
1940,0.000000,0.000026
1941,0.000000,0.000028
1942,0.000000,0.000024
1943,0.000000,0.000026
1944,0.000000,0.000036
1945,0.000000,0.000036
1946,0.000000,0.000031
1947,0.000000,0.000033
1948,0.000000,0.000037
1949,0.000000,0.000038
1950,0.000000,0.000046
1951,0.000000,0.000035
1952,0.000001,0.000048
1953,0.000000,0.000044
1954,0.000000,0.000037
1955,0.000000,0.000036
1956,0.000000,0.000037
1957,0.000000,0.000038
1958,0.000000,0.000035
1959,0.000000,0.000047
1960,0.000000,0.000043
1961,0.000000,0.000036
1962,0.000000,0.000045
1963,0.000000,0.000041
1964,0.000000,0.000046
1965,0.000000,0.000045
1966,0.000000,0.000058
1967,0.000000,0.000052
1968,0.000000,0.000066
1969,0.000000,0.000074
1970,0.000000,0.000073
1971,0.000000,0.000074
1972,0.000000,0.000089
1973,0.000003,0.000090
1974,0.000000,0.000109
1975,0.000000,0.000105
1976,0.000000,0.000111
1977,0.000002,0.000110
1978,0.000000,0.000103
1979,0.000000,0.000113
1980,0.000000,0.000117
1981,0.000002,0.000118
1982,0.000001,0.000113
1983,0.000000,0.000096
1984,0.000003,0.000103
1985,0.000000,0.000109
1986,0.000000,0.000107
1987,0.000002,0.000113
1988,0.000000,0.000104
1989,0.000001,0.000123
1990,0.000001,0.000128
1991,0.000002,0.000122
1992,0.000000,0.000133
1993,0.000000,0.000133
1994,0.000000,0.000129
1995,0.000000,0.000129
1996,0.000000,0.000128
1997,0.000000,0.000131
1998,0.000000,0.000123
1999,0.000000,0.000121
2000,0.000000,0.000130
2001,0.000000,0.000125
2002,0.000000,0.000130
2003,0.000000,0.000133
2004,0.000000,0.000139
2005,0.000000,0.000143
2006,0.000000,0.000126
2007,0.000000,0.000127
2008,0.000000,0.000115
2009,0.000000,0.000092
2010,0.000000,0.000087
2011,0.000000,0.000079
2012,0.000000,0.000089
