year,Raeanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,6
1950,5
1951,0
1952,8
1953,5
1954,13
1955,8
1956,11
1957,11
1958,9
1959,11
1960,10
1961,16
1962,16
1963,10
1964,14
1965,22
1966,17
1967,17
1968,24
1969,25
1970,25
1971,19
1972,16
1973,12
1974,23
1975,16
1976,14
1977,17
1978,22
1979,23
1980,25
1981,38
1982,27
1983,24
1984,32
1985,36
1986,29
1987,34
1988,32
1989,47
1990,50
1991,46
1992,35
1993,39
1994,30
1995,57
1996,44
1997,54
1998,63
1999,75
2000,66
2001,61
2002,38
2003,42
2004,32
2005,25
2006,30
2007,26
2008,24
2009,22
2010,17
2011,17
2012,11
