year,Revonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,7
1933,5
1934,0
1935,0
1936,5
1937,11
1938,5
1939,11
1940,9
1941,11
1942,9
1943,12
1944,8
1945,12
1946,10
1947,12
1948,20
1949,18
1950,13
1951,14
1952,16
1953,19
1954,19
1955,25
1956,18
1957,24
1958,25
1959,20
1960,29
1961,28
1962,37
1963,31
1964,21
1965,32
1966,23
1967,27
1968,24
1969,27
1970,17
1971,12
1972,18
1973,11
1974,10
1975,8
1976,8
1977,7
1978,10
1979,8
1980,0
1981,8
1982,8
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
