year,Roanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,8
1939,0
1940,11
1941,10
1942,7
1943,13
1944,5
1945,5
1946,6
1947,8
1948,7
1949,10
1950,10
1951,7
1952,15
1953,22
1954,22
1955,11
1956,15
1957,18
1958,10
1959,8
1960,7
1961,12
1962,11
1963,12
1964,13
1965,6
1966,6
1967,6
1968,0
1969,9
1970,9
1971,10
1972,0
1973,6
1974,0
1975,0
1976,7
1977,5
1978,7
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,5
1989,6
1990,5
1991,0
1992,0
1993,5
1994,0
1995,0
1996,5
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
