year,Ruben (F),Ruben (M)
1880,0.000000,0.000149
1881,0.000000,0.000109
1882,0.000000,0.000153
1883,0.000000,0.000138
1884,0.000000,0.000115
1885,0.000000,0.000116
1886,0.000000,0.000157
1887,0.000000,0.000137
1888,0.000000,0.000070
1889,0.000000,0.000114
1890,0.000000,0.000083
1891,0.000000,0.000087
1892,0.000000,0.000132
1893,0.000000,0.000126
1894,0.000000,0.000097
1895,0.000000,0.000105
1896,0.000000,0.000137
1897,0.000000,0.000121
1898,0.000000,0.000118
1899,0.000000,0.000094
1900,0.000000,0.000111
1901,0.000000,0.000101
1902,0.000000,0.000116
1903,0.000000,0.000131
1904,0.000000,0.000094
1905,0.000000,0.000097
1906,0.000000,0.000121
1907,0.000000,0.000133
1908,0.000000,0.000123
1909,0.000000,0.000139
1910,0.000000,0.000141
1911,0.000000,0.000092
1912,0.000000,0.000136
1913,0.000000,0.000135
1914,0.000000,0.000141
1915,0.000000,0.000140
1916,0.000000,0.000123
1917,0.000000,0.000144
1918,0.000000,0.000132
1919,0.000000,0.000138
1920,0.000000,0.000148
1921,0.000000,0.000153
1922,0.000000,0.000158
1923,0.000000,0.000160
1924,0.000000,0.000168
1925,0.000002,0.000182
1926,0.000000,0.000192
1927,0.000000,0.000206
1928,0.000003,0.000218
1929,0.000000,0.000221
1930,0.000002,0.000233
1931,0.000000,0.000221
1932,0.000003,0.000222
1933,0.000004,0.000199
1934,0.000000,0.000213
1935,0.000000,0.000234
1936,0.000003,0.000232
1937,0.000003,0.000230
1938,0.000005,0.000201
1939,0.000000,0.000204
1940,0.000002,0.000192
1941,0.000003,0.000190
1942,0.000000,0.000187
1943,0.000000,0.000193
1944,0.000002,0.000188
1945,0.000000,0.000211
1946,0.000002,0.000203
1947,0.000000,0.000205
1948,0.000001,0.000262
1949,0.000003,0.000287
1950,0.000004,0.000293
1951,0.000003,0.000281
1952,0.000002,0.000290
1953,0.000002,0.000311
1954,0.000004,0.000316
1955,0.000003,0.000321
1956,0.000004,0.000331
1957,0.000001,0.000329
1958,0.000001,0.000333
1959,0.000002,0.000327
1960,0.000003,0.000327
1961,0.000002,0.000334
1962,0.000002,0.000342
1963,0.000001,0.000318
1964,0.000002,0.000345
1965,0.000002,0.000317
1966,0.000002,0.000345
1967,0.000002,0.000346
1968,0.000002,0.000337
1969,0.000003,0.000356
1970,0.000004,0.000367
1971,0.000003,0.000385
1972,0.000005,0.000421
1973,0.000004,0.000434
1974,0.000004,0.000455
1975,0.000003,0.000456
1976,0.000004,0.000449
1977,0.000004,0.000430
1978,0.000002,0.000435
1979,0.000005,0.000420
1980,0.000006,0.000432
1981,0.000003,0.000426
1982,0.000004,0.000420
1983,0.000004,0.000431
1984,0.000005,0.000394
1985,0.000006,0.000408
1986,0.000002,0.000389
1987,0.000002,0.000423
1988,0.000004,0.000431
1989,0.000004,0.000415
1990,0.000003,0.000441
1991,0.000005,0.000445
1992,0.000002,0.000470
1993,0.000003,0.000464
1994,0.000003,0.000463
1995,0.000002,0.000463
1996,0.000001,0.000455
1997,0.000001,0.000440
1998,0.000001,0.000430
1999,0.000003,0.000443
2000,0.000002,0.000454
2001,0.000000,0.000463
2002,0.000000,0.000420
2003,0.000000,0.000436
2004,0.000001,0.000419
2005,0.000001,0.000381
2006,0.000000,0.000403
2007,0.000000,0.000370
2008,0.000000,0.000345
2009,0.000002,0.000314
2010,0.000000,0.000299
2011,0.000000,0.000268
2012,0.000000,0.000262
