year,Resa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,12
1946,8
1947,15
1948,10
1949,13
1950,10
1951,20
1952,18
1953,21
1954,23
1955,41
1956,33
1957,47
1958,43
1959,34
1960,48
1961,45
1962,49
1963,32
1964,24
1965,27
1966,33
1967,20
1968,16
1969,16
1970,26
1971,27
1972,22
1973,11
1974,17
1975,20
1976,10
1977,10
1978,12
1979,16
1980,16
1981,11
1982,11
1983,8
1984,15
1985,17
1986,6
1987,10
1988,15
1989,11
1990,6
1991,9
1992,8
1993,5
1994,6
1995,10
1996,5
1997,0
1998,0
1999,5
2000,9
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
