year,Ron (F),Ron (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000003
1920,0.000000,0.000002
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000003
1926,0.000000,0.000004
1927,0.000000,0.000003
1928,0.000000,0.000000
1929,0.000000,0.000004
1930,0.000000,0.000006
1931,0.000000,0.000008
1932,0.000000,0.000011
1933,0.000000,0.000019
1934,0.000000,0.000031
1935,0.000000,0.000040
1936,0.000000,0.000045
1937,0.000000,0.000064
1938,0.000000,0.000064
1939,0.000000,0.000090
1940,0.000000,0.000093
1941,0.000000,0.000120
1942,0.000000,0.000155
1943,0.000000,0.000185
1944,0.000000,0.000194
1945,0.000000,0.000205
1946,0.000000,0.000259
1947,0.000000,0.000256
1948,0.000000,0.000223
1949,0.000000,0.000151
1950,0.000000,0.000099
1951,0.000000,0.000077
1952,0.000000,0.000073
1953,0.000000,0.000091
1954,0.000000,0.000101
1955,0.000000,0.000124
1956,0.000000,0.000185
1957,0.000000,0.000305
1958,0.000000,0.000412
1959,0.000000,0.000451
1960,0.000000,0.000455
1961,0.000000,0.000444
1962,0.000001,0.000423
1963,0.000001,0.000402
1964,0.000000,0.000343
1965,0.000000,0.000316
1966,0.000000,0.000270
1967,0.000002,0.000248
1968,0.000002,0.000241
1969,0.000002,0.000289
1970,0.000000,0.000217
1971,0.000002,0.000194
1972,0.000002,0.000159
1973,0.000000,0.000136
1974,0.000000,0.000124
1975,0.000002,0.000106
1976,0.000000,0.000114
1977,0.000002,0.000098
1978,0.000000,0.000085
1979,0.000000,0.000084
1980,0.000002,0.000086
1981,0.000000,0.000070
1982,0.000000,0.000069
1983,0.000001,0.000052
1984,0.000000,0.000051
1985,0.000000,0.000049
1986,0.000000,0.000052
1987,0.000000,0.000047
1988,0.000000,0.000040
1989,0.000000,0.000048
1990,0.000000,0.000048
1991,0.000000,0.000040
1992,0.000000,0.000035
1993,0.000000,0.000037
1994,0.000000,0.000032
1995,0.000000,0.000035
1996,0.000000,0.000034
1997,0.000000,0.000032
1998,0.000000,0.000028
1999,0.000000,0.000029
2000,0.000000,0.000025
2001,0.000000,0.000024
2002,0.000000,0.000021
2003,0.000000,0.000023
2004,0.000000,0.000019
2005,0.000000,0.000022
2006,0.000000,0.000023
2007,0.000000,0.000017
2008,0.000000,0.000012
2009,0.000000,0.000017
2010,0.000000,0.000016
2011,0.000000,0.000015
2012,0.000000,0.000016
