year,Reginold
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,7
1935,5
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,11
1945,0
1946,8
1947,5
1948,9
1949,9
1950,9
1951,12
1952,5
1953,9
1954,9
1955,17
1956,14
1957,10
1958,18
1959,10
1960,14
1961,19
1962,20
1963,17
1964,16
1965,23
1966,11
1967,9
1968,22
1969,16
1970,17
1971,10
1972,17
1973,17
1974,12
1975,6
1976,17
1977,8
1978,13
1979,5
1980,9
1981,0
1982,0
1983,0
1984,6
1985,7
1986,0
1987,0
1988,8
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,5
1999,6
2000,0
2001,0
2002,0
2003,0
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
